reranked_order,definition_id,example_sn,example_cn,example_en,example_img,pinyin_id,hanzi,frequency_rank
1207,575111,1,他生日那天，我送给他一块精致的手表。,"On his birthday, I gave him an exquisite wristwatch.",,57511,手表,277
1208,44915,1,这个单元的内容非常重要，请大家认真学习。,"The content of this unit is very important, so please study it carefully.",,4491,元,278
1209,44914,1,一元论认为世界只有一个本原。,Monism holds that the world has only one origin.,,4491,元,278
1210,44918,1,元教授在学术界享有很高的声誉，他的研究成果丰硕。,"Professor Yuan enjoys a high reputation in the academic community, with abundant research achievements.",,4491,元,278
1211,44917,1,元朝是中国历史上第一个由少数民族建立的大一统王朝。,The Yuan Dynasty was the first unified dynasty in Chinese history established by an ethnic minority.,,4491,元,278
1212,44913,1,化学元素周期表是学习化学的基础工具。,The periodic table of chemical elements is a fundamental tool for studying chemistry.,,4491,元,278
1213,44911,1,元始天尊是中国神话中的重要人物之一。,Yuanshi Tianzun is one of the important figures in Chinese mythology.,,4491,元,278
1214,44912,1,国家元首在会议上发表了重要讲话。,The head of state delivered an important speech at the conference.,,4491,元,278
1215,2000019,1,冬天吃涮羊肉火锅是北方人的传统习惯。,Eating instant-boiled mutton hotpot in winter is a northern tradition.,,200047,羊肉,279
1216,573611,1,每天早上六点，他都会在公园里跑步半小时。,"Every morning at six o'clock, he runs for half an hour in the park.",,57361,跑步,280
1217,632114,1,作者用非常经济的笔墨写出了这一场复杂的斗争。,The author depicted this complex struggle with very concise writing.,,63211,经济,281
1218,632111,1,农民们正在田地里种植经济作物。,The farmers are planting cash crops in the fields.,,63211,经济,281
1219,632112,1,这些经济作物的市场需求量很大。,The market demand for these cash crops is very high.,,63211,经济,281
1220,632115,1,他具有经济之才，能够妥善管理财务。,He has a talent for economics and can manage finances effectively.,,63211,经济,281
1221,632113,1,他家经济比较宽裕，生活过得十分舒适。,"His family is relatively well-off, and they live a very comfortable life.",,63211,经济,281
1222,46912,1,为了完成任务，他们千方百计寻找解决方案。,"In order to complete the task, they tried every means to find solutions.",,4691,千,282
1223,46911,1,小麦亩产突破千斤，农民们欢呼雀跃。,"The wheat yield per mu broke through 1,000 jin, and the farmers cheered with joy.",,4691,千,282
1224,46913,1,千先生是著名的历史学家，发表过许多重要论文。,Mr. Qian is a famous historian who has published many important papers.,,4691,千,282
1225,48022,1,好吧，我答应你了，但这是最后一次。,"Alright, I promise you, but this is the last time.",,4802,吧,283
1226,48021,1,天色已晚，咱们走吧!,"It's getting late, let's go!",,4802,吧,283
1227,48012,1,他吧了一口烟，才开始说话，语气显得格外沉稳。,"He took a puff of his cigarette before he started speaking, his tone appearing particularly calm.",,4801,吧,283
1228,48024,1,大概是前天吧，他到我这儿来了，还带了一些礼物。,"It was probably the day before yesterday, he came to my place and brought some gifts.",,4802,吧,283
1229,48023,1,他大概不来了吧? 我们还是别等他了。,"He probably won't come, right? Let's not wait for him anymore.",,4802,吧,283
1230,48025,1,走吧，不好；不走吧，也不好。真是让人左右为难。,To go is not good; not to go is also not good. It's really putting me in a dilemma.,,4802,吧,283
1231,50515,1,在狭窄的小路上，他主动让路给行人。,"On the narrow path, he voluntarily gave way to pedestrians.",,5051,让,284
1232,50514,1,谁让你来的？难道你不知道这里很危险吗？,Who asked you to come? Don’t you know it’s dangerous here?,,5051,让,284
1233,50513,1,他决定将闲置的房子出让给有需要的人。,He decided to transfer his idle house to those in need.,,5051,让,284
1234,50512,1,朋友来访时，我总会让茶以示欢迎。,"When friends visit, I always offer tea to show my welcome.",,5051,让,284
1235,50511,1,在谈判中，适当的退让可以促成合作。,"In negotiations, appropriate concessions can facilitate cooperation.",,5051,让,284
1236,1611,1,中央电视台每天都会播放许多精彩的节目。,CCTV broadcasts many wonderful programs every day.,,161,中,285
1237,1612,1,中文是世界上使用人数最多的语言之一。,Chinese is one of the most spoken languages in the world.,,161,中,285
1238,1613,1,家中有一个温馨的客厅，全家人经常在那里聚会。,There is a cozy living room at home where the whole family often gathers.,,161,中,285
1239,1614,1,他不小心伤到了自己的中指，现在还有些疼痛。,"He accidentally hurt his middle finger, and it still hurts a bit.",,161,中,285
1240,1615,1,中农在农村改革中发挥了重要作用。,The middle peasants played an important role in the rural reform.,,161,中,285
1241,1616,1,孔子提倡中庸之道，认为这是处理问题的最佳方式。,"Confucius advocated the doctrine of the mean, considering it the best way to handle issues.",,161,中,285
1242,1617,1,他正在作中，试图完成那幅画。,"He is working on his painting, trying to finish it.",,161,中,285
1243,1618,1,这个工具非常中用，能解决很多实际问题。,This tool is very practical and can solve many real problems.,,161,中,285
1244,1619,1,中不中？如果不行的话，我们再想其他办法。,"Will it work? If not, we'll think of another way.",,161,中,285
1245,1620,1,列车在运行中，乘客们都在安静地休息。,"The train is in operation, and the passengers are quietly resting.",,161,中,285
1246,1621,1,经过投票，他成功中选为学生会主席。,"After the vote, he was successfully elected as the student council president.",,162,中,285
1247,1622,1,由于误食了有毒的食物，他不幸中毒了。,"Due to accidentally eating toxic food, he was unfortunately poisoned.",,162,中,285
1248,52612,1,收银员正在仔细地帮顾客找钱。,The cashier is carefully helping the customer make change.,,5261,找,286
1249,52611,1,他在人群中努力找人帮忙解决问题。,He tried hard to find someone in the crowd to help solve the problem.,,5261,找,286
1250,54114,1,他的黑心行为遭到了大家的一致谴责。,His malicious behavior was unanimously condemned by everyone.,,5411,黑,287
1251,54111,1,老师在黑板上写下了一道数学题。,The teacher wrote a math problem on the blackboard.,,5411,黑,287
1252,54116,1,黑老师是我们班新来的语文老师，讲课非常生动有趣。,"Mr. Hei is our new Chinese teacher, and his lectures are very lively and interesting.",,5411,黑,287
1253,54115,1,这部电影讲述了黑帮之间的斗争。,This movie tells the story of the struggle between gangs.,,5411,黑,287
1254,54113,1,这种商品在黑市上的价格非常高。,The price of this commodity is very high on the black market.,,5411,黑,287
1255,54112,1,天黑了，我们赶紧往家赶。,"It got dark, so we hurried home.",,5411,黑,287
1256,61132,1,医生正在给病人号脉，以判断病情。,The doctor is taking the patient's pulse to assess their condition.,,6112,号,288
1257,61135,1,清晨的起床号响彻军营。,The wake-up call echoed through the military camp in the early morning.,,6112,号,288
1258,61133,1,领导喜欢发号施令，却很少亲自执行任务。,The leader likes to give orders but rarely executes tasks personally.,,6112,号,288
1259,61134,1,清晨的起床号响彻军营。,The wake-up call echoed through the military camp in the early morning.,,6112,号,288
1260,61123,1,这家商号已经有上百年的历史，经营着各种商品。,This business has a history of hundreds of years and deals in various commodities.,,6112,号,288
1261,61112,1,失去亲人的孩子在夜晚哀号，令人心碎。,"The child who lost his family wailed at night, breaking people's hearts.",,6111,号,288
1262,61121,1,每个国家都有自己的国号，象征着国家的身份和地位。,"Every nation has its own national title, symbolizing the identity and status of the country.",,6112,号,288
1263,61122,1,苏轼字子瞻，号东坡，是宋代著名的文学家。,"Su Shi, also known as Zi Zhan and Dongpo, was a famous writer in the Song Dynasty.",,6112,号,288
1264,61136,1,清晨的起床号响彻军营。,The wake-up call echoed through the military camp in the early morning.,,6112,号,288
1265,61130,1,今天有一百多号人出工，大家干劲十足。,"Today, more than a hundred people went to work with great enthusiasm.",,6112,号,288
1266,61127,1,这号人甭理他，省得给自己找麻烦。,"Ignore this kind of person, so as not to cause trouble for yourself.",,6112,号,288
1267,61131,1,他们正在为新员工号房子。,They are allocating houses for the new employees.,,6112,号,288
1268,61111,1,他在暴风雨中大声呼号，希望有人能听到并来救援。,"He shouted loudly in the storm, hoping someone would hear him and come to the rescue.",,6111,号,288
1269,66812,1,鱼教授在海洋生物学领域有着杰出的贡献。,Professor Yu has made outstanding contributions in the field of marine biology.,,6681,鱼,289
1270,66811,1,这条清澈的小溪里游动着许多色彩斑斓的小鱼。,Many colorful small fish are swimming in this clear stream.,,6681,鱼,289
1271,68311,1,每天清晨，他都会准时送报到每家每户。,"Every morning, he delivers newspapers to every household on time.",,6831,送,290
1272,68313,1,主人热情地把客人送到大门外，一直挥手告别。,"The host warmly escorted the guests to the gate, waving goodbye all the way.",,6831,送,290
1273,68312,1,这是我们的奉送，希望您喜欢。,This is our complimentary gift; we hope you like it.,,6831,送,290
1274,68711,1,两条小路在森林中交错延伸。,Two small paths crisscrossed and extended into the forest.,,6871,错,291
1275,68720,1,在学习过程中，我们需要不断攻错，才能取得进步。,"In the learning process, we need to constantly correct mistakes in order to make progress.",,6871,错,291
1276,68715,1,这篇文档里有一个错字需要改正。,There is a typo in this document that needs to be corrected.,,6871,错,291
1277,68718,1,错了你，换个人我也不说这话。,"If it weren’t you, I wouldn’t say this to anyone else either.",,6871,错,291
1278,68721,1,他善于攻错，总能发现问题并及时解决。,He is good at correcting errors and can always identify problems and solve them in time.,,6871,错,291
1279,68719,1,这件工艺品采用了错金工艺，显得格外精美。,"This handicraft uses inlaid gold craftsmanship, making it particularly exquisite.",,6871,错,291
1280,68712,1,上下牙错得很响，让人听得一清二楚。,"The upper and lower teeth clicked loudly, clearly audible to everyone.",,6871,错,291
1281,68717,1,这幅画儿画得不错，色彩搭配非常和谐。,"This painting is well done, with very harmonious color combinations.",,6871,错,291
1282,68714,1,这两个会不能同时开，得错一下时间安排。,These two meetings cannot be held at the same time; we need to adjust the schedule.,,6871,错,291
1283,68713,1,两辆车在狭窄的路上需要错车才能通过。,The two vehicles needed to maneuver around each other to pass on the narrow road.,,6871,错,291
1284,69811,1,这艘船的船体设计非常先进，能够有效减少水的阻力。,The hull design of this ship is very advanced and can effectively reduce water resistance.,,6981,船,292
1285,75912,1,你近来忙些什么?,What have you been busy with recently?,,7591,忙,293
1286,75911,1,最近工作繁忙，几乎没有休息时间。,"I've been extremely busy with work recently, leaving almost no time for rest.",,7591,忙,293
1287,76614,1,他用毒药老鼠，解决了家里的鼠患问题。,"He used poison to kill the rats, solving the rat problem at home.",,7661,药,294
1288,76613,1,不可救药。,Beyond remedy.,,7661,药,294
1289,76612,1,火药的发明极大地改变了战争的方式。,The invention of gunpowder greatly changed the way wars were fought.,,7661,药,294
1290,76611,1,火药是中国古代四大发明之一。,Gunpowder is one of the four great inventions of ancient China.,,7661,药,294
1291,77013,1,她正在耐心地教孩子穿针。,She is patiently teaching the child to thread the needle.,,7701,穿,295
1292,77011,1,不小心把纸穿了个洞。,Carelessly made a hole in the paper.,,7701,穿,295
1293,77015,1,他快速地穿鞋准备出门。,He quickly put on his shoes and got ready to go out.,,7701,穿,295
1294,77014,1,小贩熟练地穿糖葫芦。,The vendor skillfully strings the candied haws.,,7701,穿,295
1295,77012,1,箭矢射穿了靶心。,The arrow shot through the bullseye.,,7701,穿,295
1296,78312,1,且慢，让我再仔细考虑一下这个问题。,"Wait a moment, let me think about this problem more carefully.",,7831,慢,296
1297,78313,1,他总是慢道，从不急于求成。,He always takes his time and never rushes to achieve results.,,7831,慢,296
1298,78311,1,慢车虽然速度较慢，但票价便宜。,"Although slow trains are slower, their fares are cheaper.",,7831,慢,296
1299,78314,1,他的态度显得非常傲慢，让人难以接受。,"His attitude seemed extremely arrogant, making it hard for others to accept.",,7831,慢,296
1300,83411,1,绸缎比棉布贵，因此在古代只有富人才能穿得起。,"Silk is more expensive than cotton, so only the wealthy could afford to wear it in ancient times.",,8341,贵,297
1301,83416,1,贵教授在学术界的贡献得到了同行们的高度评价。,Professor Gui's contributions to the academic community have been highly praised by his peers.,,8341,贵,297
1302,83412,1,宝贵的时间不应该被浪费在无意义的事情上。,Precious time should not be wasted on meaningless things.,,8341,贵,297
1303,83413,1,人贵有自知之明，这是一种非常重要的品质。,"It is precious for a person to have self-awareness, which is a very important quality.",,8341,贵,297
1304,83415,1,“贵姓？”他礼貌地问道。,“What is your honorable surname?” he asked politely.,,8341,贵,297
1305,83414,1,贵族的生活方式与普通人截然不同。,The lifestyle of the nobility is completely different from that of ordinary people.,,8341,贵,297
1306,88612,1,主课是学校教育中最重要的一部分。,The主课is the most important part of school education.,,8861,课,298
1307,88611,1,学生们每天按时上课，从不迟到。,The students go to上课every day on time and are never late.,,8861,课,298
1308,88616,1,国课是每个学生必须完成的学习任务。,The国课is a learning task that every student must complete.,,8861,课,298
1309,88613,1,这是一节课。,This is一节课.,,8861,课,298
1310,88614,1,这本教科书共有二十五课。,This textbook has a total of二十五课.,,8861,课,298
1311,88615,1,秘书课是培养未来行政助理的重要课程。,The秘书课is an important course for training future administrative assistants.,,8861,课,298
1312,88618,1,算命先生正在为客人起课。,The fortune-teller is起课for the customer.,,8861,课,298
1313,88617,1,政府决定对奢侈品实施课税。,The government decided to impose a tax on luxury goods课税.,,8861,课,298
1314,90214,1,他喜欢在众人面前卖功。,He likes to show off his achievements in front of others.,,9021,卖,299
1315,90213,1,他在工作中总是卖劲儿干。,He always works hard with full effort at his job.,,9021,卖,299
1316,90212,1,历史上，卖国行为一直受到谴责。,"Historically, acts of betraying one's country have always been condemned.",,9021,卖,299
1317,90215,1,一卖炒腰花，香气扑鼻而来。,"Once stir-fried pig kidney is sold, its aroma fills the air.",,9021,卖,299
1318,90211,1,他决定卖房子来筹集资金。,He decided to sell his house to raise funds.,,9021,卖,299
1319,92611,1,您最近身体可好？我们都很想念您。,How have you been recently? We all miss you very much.,,9261,您,300
1320,97414,1,他发誓要通过努力工作来雪耻家族的名誉。,He vowed to restore his family's honor through hard work.,,9741,雪,301
1321,97411,1,她穿着一件雪白的连衣裙，显得格外美丽。,"She wore a snow-white dress, which made her look exceptionally beautiful.",,9741,雪,301
1322,97413,1,雪教授在历史学界享有很高的声誉。,Professor Xue enjoys a high reputation in the field of history.,,9741,雪,301
1323,97412,1,墙上刷了一层雪白的油漆，房间顿时明亮了许多。,"The wall was painted with snow-white paint, making the room much brighter.",,9741,雪,301
1324,105432,1,尽管多次受到批评教育，他仍然累教不改。,"Despite repeated criticism and education, he still fails to correct his behavior.",,10543,累,302
1325,105412,1,"眼睛刚好,别累着它。","My eyes have just recovered, so I should avoid straining them.",,10541,累,302
1326,105431,1,通过日积月累的努力，他终于取得了成功。,"Through persistent effort day by day, he finally succeeded.",,10543,累,302
1327,105411,1,"越干越有劲儿,一点儿也不觉得累。","The more you do, the more energetic you feel, not tired at all.",,10541,累,302
1328,105434,1,他的错误牵累了整个团队。,His mistake implicated the entire team.,,10543,累,302
1329,105413,1,"累了一天,该休息了。","After a long day of work, it's time to rest.",,10541,累,302
1330,108913,1,夏天的时候，大家都喜欢在树阴下乘凉。,"In summer, everyone likes to cool off in the shade of trees.",,10891,阴,303
1331,108912,1,农民们通常会参考阴历来安排农事活动。,Farmers usually refer to the lunar calendar to arrange farming activities.,,10891,阴,303
1332,108915,1,华阴（在华山之北）是一个风景秀丽的地方。,Huayin (to the north of Mount Hua) is a picturesque place.,,10891,阴,303
1333,108920,1,在民间传说中，阴司是掌管亡魂的地方。,"In folklore, the netherworld is the place that governs the spirits of the dead.",,10891,阴,303
1334,108917,1,这枚印章使用的是阴文雕刻技法。,This seal uses the intaglio carving technique.,,10891,阴,303
1335,108919,1,他的阴谋最终被大家识破了。,His conspiracy was eventually uncovered by everyone.,,10891,阴,303
1336,108922,1,妇科医生会定期检查女性的生殖器官。,Gynecologists regularly examine female reproductive organs.,,10891,阴,303
1337,108921,1,科学家们正在研究阴电与阳电之间的相互作用。,Scientists are studying the interaction between negative electricity and positive electricity.,,10891,阴,303
1338,108916,1,这座石碑的碑阴刻有一些古老的文字。,The back of this stone tablet is engraved with some ancient characters.,,10891,阴,303
1339,108918,1,这条阴沟因为长期没有清理而散发出难闻的气味。,This sewer emits an unpleasant smell because it has not been cleaned for a long time.,,10891,阴,303
1340,108923,1,阴先生是我们学校新来的历史老师。,Mr. Yin is the new history teacher at our school.,,10891,阴,303
1341,108914,1,孩子们在树阴下嬉戏玩耍。,The children played merrily in the shade of the tree.,,10891,阴,303
1342,108911,1,春节是按照阴历计算的重要节日。,The Spring Festival is an important holiday calculated according to the lunar calendar.,,10891,阴,303
1343,111216,1,这件瓷器是清代的古玩，价值连城。,This porcelain piece is an antique from the Qing Dynasty and is worth a fortune.,,11121,玩,304
1344,111214,1,他总是喜欢玩弄自己的钢笔，尤其是在思考问题的时候。,"He always likes to fiddle with his pen, especially when thinking about problems.",,11121,玩,304
1345,111213,1,谈判中对方玩花招儿，试图蒙混过关。,"During the negotiation, the other party played tricks, trying to muddle through.",,11121,玩,304
1346,111211,1,小孩子玩火是非常危险的行为。,It is very dangerous for children to play with fire.,,11121,玩,304
1347,111212,1,放学后，孩子们一起玩儿足球，欢声笑语不断。,"After school, the children played football together, laughing and cheering.",,11121,玩,304
1348,111215,1,中秋之夜，人们喜欢在庭院里玩月，欣赏美丽的月色。,"On the night of the Mid-Autumn Festival, people like to admire the moon and enjoy its beautiful light in the courtyard.",,11121,玩,304
1349,118711,1,这个孩子非常懂事，大家都很喜欢他。,"This child is very sensible, and everyone likes him.",,11871,懂,305
1350,120619,1,这个青瓷笔洗是明代文房四宝中的珍品。,This celadon brush washer is a treasure among the Four Treasures of the Study from the Ming Dynasty.,,12061,洗,306
1351,120615,1,古代士兵攻城时会进行洗城行动，彻底清除敌人。,"When ancient soldiers attacked a city, they would carry out a 'washing' operation to completely eliminate the enemy.",,12061,洗,306
1352,120621,1,洗先生是我们学校新来的历史老师。,Mr. Xian is the new history teacher at our school.,,12062,洗,306
1353,120617,1,那段录音已经洗了，无法再恢复原始内容。,That recording has been erased and its original content cannot be restored.,,12061,洗,306
1354,120611,1,每天早晨，他都会洗脸并整理好自己的仪容。,"Every morning, he washes his face and tidies up his appearance.",,12061,洗,306
1355,120614,1,清洗工作完成后，整个房间焕然一新。,"After the cleaning work was completed, the whole room looked brand new.",,12061,洗,306
1356,120612,1,婴儿将在教堂接受领洗仪式。,The baby will receive the baptism ceremony at the church.,,12061,洗,306
1357,120613,1,这部电视剧试图为历史人物洗冤。,This TV drama attempts to clear the names of historical figures.,,12061,洗,306
1358,120616,1,摄影师正在暗房里洗胶卷，以显影照片。,The photographer is developing the film in the darkroom to reveal the photos.,,12061,洗,306
1359,120618,1,他把扑克牌洗牌后开始发牌。,He shuffled the cards and began to deal them.,,12061,洗,306
1360,129212,1,你姓什么？是“李”还是“王”？,What is your surname? Is it 'Li' or 'Wang'?,,12921,姓,307
1361,129211,1,请在这里填写您的姓名。,Please fill in your name here.,,12921,姓,307
1362,131115,1,他喜欢玩儿票，每次都会买很多。,He likes to play tickets and always buys a lot each time.,,13111,票,308
1363,131111,1,请提前购买车票以免耽误行程。,Please purchase your train tickets in advance to avoid delaying your trip.,,13111,票,308
1364,1014612,1,农业在国民经济中占有重要地位，尤其是在发展中国家更为突出。,"Agriculture occupies an important position in the national economy, especially in developing countries.",,101461,占有,309
1365,1014611,1,农业在国民经济中占有重要地位，为社会提供了稳定的粮食供应。,"Agriculture occupies an important position in the national economy, providing society with a stable food supply.",,101461,占有,309
1366,1014613,1,科学研究必须占有大量材料，才能得出准确的结论。,Scientific research must rely on a large amount of material to draw accurate conclusions.,,101461,占有,309
1367,207011,1,今天的晴天让人心情愉快。,The sunny day today makes people feel happy.,,20701,晴,310
1368,229011,1,孩子们在操场上踢球。,The children are playing football on the playground.,,22901,踢,311
1369,2316,1,"城高以厚,地广以深。","The city walls are high and thick, and the land is vast and deep.",,231,以,312
1370,2311,1,这场战役以少胜多，成为军事史上的经典案例。,This battle became a classic case in military history by winning with fewer troops against a larger force.,,231,以,312
1371,2315,1,中华人民共和国以1949年10月1日宣告成立，这一天被定为国庆节。,"The People's Republic of China was proclaimed on October 1, 1949, and this day was designated as National Day.",,231,以,312
1372,2313,1,何以知之？是因为他亲眼目睹了整个过程。,How did he know? It was because he witnessed the entire process with his own eyes.,,231,以,312
1373,2317,1,我以前从未去过北京。,I have never been to Beijing before.,,231,以,312
1374,2312,1,请大家按照座位表以次就座。,Please take your seats according to the seating chart.,,231,以,312
1375,2314,1,通过学习，我们可以以广视听，增长见识。,"Through learning, we can broaden our horizons and increase our knowledge.",,231,以,312
1376,2021,1,这些生柿子还需要放一段时间才能吃。,These raw persimmons need to be left for a while before they can be eaten.,,201,生,313
1377,2020,1,生教授是我国著名的物理学家，曾获得多项国际大奖。,Professor Sheng is a famous physicist in our country and has won many international awards.,,201,生,313
1378,2019,1,冬天的时候，我们需要生火取暖。,"In winter, we need to light a fire for warmth.",,201,生,313
1379,2025,1,他生拉硬拽地把朋友拖到了聚会现场。,He dragged his friend to the party by force.,,201,生,313
1380,2022,1,这碗夹生饭让人难以下咽。,This bowl of half-cooked rice is hard to swallow.,,201,生,313
1381,2018,1,昨天开始，他就一直在生病。,He has been sick since yesterday.,,201,生,313
1382,2012,1,这棵树已经在这里生根多年了。,This tree has taken root here for many years.,,201,生,313
1383,2013,1,医生们竭尽全力，希望病人能够起死回生。,The doctors did their best in the hope that the patient would come back to life.,,201,生,313
1384,2014,1,为了谋生，他不得不四处奔波。,"In order to make a living, he had to travel around.",,201,生,313
1385,2031,1,他好生劝了半天，终于说服了固执的父亲。,He earnestly persuaded for a long time and finally convinced his stubborn father.,,201,生,313
1386,2017,1,生物多样性是地球的重要特征之一。,Biodiversity is one of the important features of Earth.,,201,生,313
1387,2016,1,他们发誓要一生一世在一起。,They vowed to be together for life.,,201,生,313
1388,2023,1,这种药材需要使用生石膏来制作。,This medicinal herb needs to be made with raw gypsum.,,201,生,313
1389,2027,1,师生之间的关系应该建立在互相尊重的基础上。,The relationship between teachers and students should be based on mutual respect.,,201,生,313
1390,2028,1,他是一个书生，满腹经纶却不懂人情世故。,"He is a scholar, full of knowledge but ignorant of worldly affairs.",,201,生,313
1391,2026,1,生怕错过最后一班车，他跑得飞快。,"Fearing that he would miss the last bus, he ran very fast.",,201,生,313
1392,2011,1,大多数哺乳动物都是胎生的。,Most mammals are viviparous.,,201,生,313
1393,2024,1,他是一个生人，大家对他还不太熟悉。,"He is a stranger, and everyone is not very familiar with him yet.",,201,生,313
1394,2029,1,这位医生非常专业，大家都很信任他。,"This doctor is very professional, and everyone trusts him.",,201,生,313
1395,2030,1,医生的责任是救死扶伤。,The responsibility of a doctor is to save lives and heal the wounded.,,201,生,313
1396,2015,1,在这场事故中，有三人不幸丧生。,Three people lost their lives in this accident.,,201,生,313
1397,599811,1,"你如果有困难,我可以帮助你。","If you have any difficulties, I can help you.",,59981,如果,314
1398,601911,1,为了发电，我们需要提高水位。,"In order to generate electricity, we need to raise the water level.",,60191,提高,315
1399,647412,1,国内市场对高质量产品的需求正在不断增长。,The domestic market demand for high-quality products is constantly increasing.,,64741,市场,316
1400,647411,1,附近的集贸市场非常热闹，人来人往络绎不绝。,The nearby farmers' market is bustling with people coming and going continuously.,,64741,市场,316
1401,609111,1,这次会议邀请了几位重要人物参加。,Several important figures were invited to this meeting.,,60911,重要,317
1402,589914,1,你还是上午去？还是下午去？需要提前安排好时间。,Are you going in the morning or in the afternoon? You need to arrange the time in advance.,,58991,还是,318
1403,589913,1,天气凉了，还是多穿点儿吧，以免着凉感冒。,It's getting cold. You'd better wear more clothes to avoid catching a cold.,,58991,还是,318
1404,2211,1,我们一起去公园散步。,We went for a walk in the park together.,,221,们,319
1405,609311,1,事故的主要原因是驾驶员的疏忽。,The main cause of the accident was the driver's negligence.,,60931,主要,320
1406,4216,1,请用特函达通知相关部门。,Please use a special letter to notify the relevant department.,,421,用,321
1407,4214,1,天还很亮，不用开灯。,"It's still very bright outside, so there's no need to turn on the lights.",,421,用,321
1408,4211,1,厨房里的用具一应俱全，非常方便。,"The kitchen is fully equipped with all kinds of utensils, making it very convenient.",,421,用,321
1409,4215,1,到了用餐时间，大家围坐在一起用饭。,"At mealtime, everyone gathered together to have dinner.",,421,用,321
1410,4212,1,这笔资金的用项必须明确记录下来。,The purpose of this fund must be clearly recorded.,,421,用,321
1411,4213,1,这个工具的功用非常广泛，可以用于多种场合。,The function of this tool is very versatile and can be used in various situations.,,421,用,321
1412,605811,1,由于家庭原因，他要求转学至另一所学校。,"Due to family reasons, he requested to transfer to another school.",,60581,要求,322
1413,605812,1,老师满足了他的要求，并给予了特别的帮助。,The teacher met his request and provided special help.,,60581,要求,322
1414,605512,1,从群众的需要出发，才能真正解决问题。,Only by starting from the needs of the masses can we truly solve problems.,,60551,需要,323
1415,605511,1,我们需要有一支强大的科学技术队伍，以推动国家的发展。,We need to have a strong team of science and technology to promote national development.,,60551,需要,323
1416,624513,1,监狱工作人员的主要任务之一是管理罪犯并维护监区秩序。,One of the main tasks of prison staff is to manage prisoners and maintain order in the prison area.,,62451,管理,324
1417,624511,1,作为一名财务经理，他的主要职责是管理财务并确保资金合理使用。,"As a financial manager, his main responsibility is to manage finances and ensure the reasonable use of funds.",,62451,管理,324
1418,624512,1,图书馆管理员每天的工作包括管理图书、整理书架以及帮助读者查找资料。,"A librarian’s daily work includes managing books, organizing shelves, and helping readers find materials.",,62451,管理,324
1419,599511,1,我认为他可以担任这项工作。,I think he can take on this job.,,59951,认为,325
1420,750011,1,工业生产正在逐步恢复到疫情前的水平。,Industrial production is gradually returning to pre-pandemic levels.,,75001,生产,326
1421,750012,1,她预产期在下个月，即将在医院生产。,"Her due date is next month, and she will give birth in the hospital.",,75001,生产,326
1422,2514,1,国产的产品质量有了很大提升。,The quality of domestically produced products has greatly improved.,,251,国,327
1423,2515,1,国先生是我们公司新聘请的财务总监。,Mr. Guo is the newly appointed financial director of our company.,,251,国,327
1424,2511,1,国内的经济发展迅速。,The domestic economy is developing rapidly.,,251,国,327
1425,2512,1,国徽象征着国家的尊严和权威。,The national emblem symbolizes the dignity and authority of the country.,,251,国,327
1426,2513,1,这位医生是全国闻名的国手。,This doctor is a renowned national expert.,,251,国,327
1427,607211,1,父母应该用自己的模范行为去影响孩子，让他们学会正确的价值观。,Parents should use their exemplary behavior to influence their children so that they learn the correct values.,,60721,影响,328
1428,607213,1,这种说法只是模糊影响之谈，没有实际依据。,This statement is just a vague and unfounded talk of influence.,,60721,影响,328
1429,607212,1,他爱好音乐是受了一位老师的影响。,His love for music was influenced by a teacher.,,60721,影响,328
1430,645511,1,现代社会的发展离不开科技的进步和教育的普及。,The development of modern society cannot be separated from technological progress and the popularization of education.,,64551,社会,329
1431,645512,1,在这个多元的社会中，我们应该学会尊重不同的文化和观点。,"In this diverse society, we should learn to respect different cultures and perspectives.",,64551,社会,329
1432,2619,1,这场雨时断时续地下了一整天。,The rain fell intermittently throughout the day.,,261,时,330
1433,2617,1,失时不候，机会一旦错过就很难再遇到。,"Time waits for no one; once an opportunity is missed, it is hard to come by again.",,261,时,330
1434,2621,1,时教授在学术界的声望非常高。,Professor Shi enjoys a very high reputation in the academic community.,,261,时,330
1435,2620,1,在英语中，动词的过去时通常要加-ed后缀。,"In English, the past tense of verbs usually requires adding the -ed suffix.",,261,时,330
1436,2615,1,她的穿着非常入时，总是引领潮流。,Her dressing is very fashionable and always leads the trend.,,261,时,330
1437,2618,1,他时时提醒自己要努力学习。,He constantly reminds himself to study hard.,,261,时,330
1438,2614,1,时下流行简约风格的装修。,"Currently, minimalist style decoration is popular.",,261,时,330
1439,2613,1,一年有四时：春夏秋冬。,"There are four seasons in a year: spring, summer, autumn, and winter.",,261,时,330
1440,2611,1,古时的人们靠天吃饭。,"In ancient times, people depended on the weather for their livelihood.",,261,时,330
1441,2612,1,按时上班是对员工的基本要求。,Being punctual for work is a basic requirement for employees.,,261,时,330
1442,2616,1,卯时是一天中的早晨五点到七点。,The Mao period is from five to seven o'clock in the morning.,,261,时,330
1443,600414,1,"现在是什么世界,还允许你不讲理?",What kind of world is it now? How can you still be unreasonable?,,60041,世界,331
1444,600411,1,一个人的世界观决定了他对事物的看法。,A person's worldview determines his perspective on things.,,60041,世界,331
1445,600412,1,大千世界，无奇不有。,The vast world is full of wonders.,,60041,世界,331
1446,600413,1,他计划去世界各地旅行，开阔眼界。,He plans to travel around the world to broaden his horizons.,,60041,世界,331
