definition_id,hanzi,pinyin,pos,definition_cn,example_1,example_2,DS,QW,review
688713,地理,dì lǐ,名词,方言中指风水,这位地理先生（看风水的人）在当地颇有名气。,老一辈人盖房子前总要请风水先生看看地理。,2,1,2
690811,对待,duì dài,动词,处于相对状态,"高山与平地对待,不见高山,哪见平地?",在谈判中，双方处于平等对待的地位非常重要。,2,1,1
718511,尽量,jìn liàng,动词,达到最大量,喝了半斤白酒，还没尽量。,这个水杯的容量很大，可以尽量多装些水。,1,2,1
721621,开发,kāi fa,动词,支付款项,在出发前，我们需要开发车钱，确保旅途顺利进行。,老板决定开发奖金以激励员工。,1,2,1
745114,人口,rén kǒu,名词,人的口腔部位,这首诗语言优美，内容深刻，堪称脍炙人口的经典之作。,这个新产品刚上市就获得了极好的口碑，人口皆碑。,1,2,1
778311,英俊,yīng jùn,形容词,才能出众,这位年轻人英俊有为，深受大家的喜爱。,这位年轻的科学家才华横溢，堪称当代英俊之才。,2,1,2
796811,霸道,bà dao,形容词,猛烈;厉害,这酒真霸道，少喝点吧。,这酒真霸道，才喝一小杯我就觉得头晕了。,2,1,2
804113,比方,bǐ fang,连词,举例说明,"郊游的事情都安排好了,比方谁带队、谁开车,等等。",比方说，你可以先完成简单的任务再处理复杂的。,2,1,1
804114,比方,bǐ fang,连词,假设（用于欲言又止时）,"他的隶书真好,比方我求他写一副对联儿,他不会拒绝吧?",比方，我是说如果，你突然中了大奖会怎么做？,2,1,2
804911,鞭策,biān cè,动词,用鞭子驱赶马匹前进,要经常鞭策自己，努力学习，才能不断进步。,老师的鼓励像鞭策一样，推动我不断前进。,2,1,1
812711,裁判,cái pàn,名词,法院对案件的决定,足球裁判在比赛中扮演着至关重要的角色。,法院的裁判结果公正无私，赢得了民众的信任。,2,1,2
813311,参谋,cān móu,名词,军队中协助指挥和制定计划的军官,这事该怎么办，你给参谋一下，看看有没有好办法。,这位参谋在军事演习中提出了关键的战略建议。,2,1,2
815011,策划,cè huà,动词,系统性地规划或设计,他是这次活动的幕后策划。,团队正在策划一场盛大的产品发布会。,2,1,2
815112,策略,cè lüè,形容词,讲究方法和技巧的,在谈判中，谈话要策略一点才能取得更好的结果。,他处理问题很有策略，既达到了目的又不得罪人。,2,1,2
816511,产业,chǎn yè,名词,私有财产，如土地、房屋等,产业工人是推动工业化进程的重要力量。,他继承了家族的大片产业，包括农田和房产。,2,1,2
816512,产业,chǎn yè,形容词,与工业生产相关的,产业工人的技能提升对经济发展至关重要。,政府出台新政策支持产业升级和科技创新。,2,1,1
817513,场面,chǎng miàn,名词,戏曲演出时的伴奏,这次阅兵的场面壮观，展现了国家的强大实力。,京剧演出时，文场面的管弦乐和武场面的锣鼓配合得天衣无缝。,2,1,2
818511,潮流,cháo liú,名词,潮汐引起的水流,革命潮流席卷了整个国家，带来了翻天覆地的变化。,钱塘江大潮时，汹涌的潮流形成了壮观的自然奇观。,2,1,2
829612,打包,dǎ bāo,动词,解开包裹,为了确保行李安全，机场对所有包裹进行了打包检查。,他兴奋地打包了生日礼物，想知道里面是什么。,1,2,1
832912,当心,dāng xīn,名词,胸部正中；中心,他挥起拳头，当心一拳打了过去。,他把手放在胸口当心的位置，表示自己的诚意。,2,1,1
843612,发火,fā huǒ,动词,子弹或炮弹引爆,有话好好说，不必发火。,这把枪的子弹发火很灵敏，射击时要注意安全。,2,1,2
864011,光彩,guāng cǎi,名词,颜色和光泽,"小张当了劳动模范,咱全村都很光彩。",阳光透过水晶折射出绚丽的光彩。,1,2,2
873911,回报,huí bào,动词,报告执行情况,做好事不图回报。,考察团回国后立即向领导汇报了此次访问的详细情况。,1,2,0
876612,机关,jī guān,形容词,机械控制的,战场上，士兵们使用机关枪对敌人进行猛烈扫射。,现代电梯都采用机关控制以确保安全运行。,2,1,1
895811,开朗,kāi lǎng,形容词,空间宽敞，光线充足,经过老师的指点，他豁然开朗。,这个房间窗户很大，显得特别开朗明亮。,2,1,2
896314,开展,kāi zhǎn,形容词,思想开明,我们需要让自己的思想开展，接受更多的新事物。,经过心理辅导，他的性格变得更加开展。,2,1,2
898811,客户,kè hù,名词,旧指租种地主土地的农户,这次展销的新产品受到国内外客户的欢迎。,古代地主将土地租给客户耕种，收取地租为生。,2,1,2
908211,灵魂,líng hún,名词,迷信认为主宰人体的非物质存在,她拥有一颗纯洁的灵魂，让人感到无比温暖。,古老的传说认为灵魂会在人死后离开躯体。,2,1,2
911912,码头,mǎ tou,名词,方言指商业港口城市,作为水陆码头，这里每天都有大量的货物集散。,上海是中国的经济中心，也是著名的国际码头。,1,2,2
914711,梦想,mèng xiǎng,名词,不切实际的幻想,他对未来充满梦想，每天都努力朝着目标前进。,他整天做着发财的梦想，却不愿意努力工作。,1,2,2
924113,配备,pèi bèi,名词,成套设备,现代化的配备大大提高了工作效率，让任务完成得更加轻松。,这套厨房配备非常齐全，包括各种现代化的烹饪工具。,2,1,2
924511,烹饪,pēng rèn,名词,制作食物的技艺,厨师们研究出了新的烹饪法，使得菜肴更加美味可口。,这位厨师精通各种烹饪技巧，尤其擅长川菜的制作。,2,1,2
925912,片断,piàn duàn,形容词,零碎的；不完整的。,这些文字记录下来的不过是片断经验，还需要进一步整理。,这部电影只保留了原著中的几个片断。,2,1,2
931111,启示,qǐ shì,动词,启发性的指示或领悟,这本书启示我们应该怎样度过自己的一生。,这本书给了我很多关于人生意义的启示。,2,1,1
932212,气味,qì wèi,名词,比喻人的性格志趣（多含贬义）,他们两人气味相投，很快就成为了无话不谈的好朋友。,这两个人臭味相投，整天混在一起。,2,1,1
945311,筛选,shāi xuǎn,动词,用筛子选择种子或矿物,经过多年的杂交试验，筛选出优质高产的西瓜新品种。,农民们正在田里筛选优良的稻种，为来年播种做准备。,2,1,2
950011,生育,shēng yù,动词,分娩；生孩子,政府推行计划生育政策以控制人口增长。,现代社会鼓励晚婚晚育，以控制人口增长。,2,1,1
962811,弹性,tán xìng,名词,物体变形后恢复原状的性质,在谈判中，他展现了弹性立场，最终达成了协议。,这种材料具有极好的弹性，适合制作运动鞋的鞋底。,2,1,2
969911,推翻,tuī fān,动词,"用武力打垮旧的政权,使局面彻底改变。",科学家们通过实验推翻原有结论。,人民的力量最终推翻了腐败的专制政权。,2,2,2
979611,牺牲,xī shēng,名词,祭祀时宰杀的牲畜,为了国家的独立，无数英雄流血牺牲。,古代祭祀时，人们会准备牛羊作为牺牲。,2,1,2
983411,相应,xiāng yīng,动词,旧式公文用语，表示应该,收到通知后，请尽快相应函达。,根据规定，相应部门应当立即处理此事。,2,1,1
984111,向导,xiàng dǎo,动词,带领路线,登山队请了一位猎人当向导。,在陌生的城市里，一位热情的向导为我们带路。,2,1,1
984713,消耗,xiāo hào,名词,古代指消息,这件事已经杳无消耗。,自从他离家后，一直没有消耗传来，家人非常担心。,2,1,2
985611,协议,xié yì,名词,协商的过程。,双方协议，提高收购价格。,双方经过多次协议，终于达成了共识。,2,1,2
986212,泄气,xiè qì,形容词,形容表现差或无能,这点小故障排除不了，你也太泄气了。,连这么简单的题目都不会做，你也太泄气了。,2,1,1
989211,胸怀,xiōng huái,动词,心中怀有（某种情感或想法）。,他胸怀大志，立志要为国家做出贡献。,他胸怀大志，立志要成为一名优秀的科学家。,2,1,1
990911,许可,xǔ kě,名词,官方批准或同意,他申请了许可证。,未经许可，任何人不得进入这个高度机密的区域。,2,1,2
1002411,阴谋,yīn móu,动词,暗中策划进行不正当或非法活动。,他们正在策划一场阴谋暴乱。,警方成功挫败了一起恐怖分子的阴谋。,2,1,2
1005011,踊跃,yǒng yuè,动词,跳跃的动作,听到这个好消息，大家踊跃欢呼。,孩子们听到要去春游的消息，高兴得踊跃欢呼。,2,1,1
1014011,战斗,zhàn dòu,名词,敌对双方的武装冲突,军队经过严格训练，战斗力得到了显著提升。,这场激烈的战斗持续了三天三夜，最终以我军胜利告终。,2,1,2
1014112,战略,zhàn lüè,形容词,与战争全局相关的,这次军事演习的核心是测试战略部署的实际效果。,这次军事行动具有重要的战略意义，将影响整个战局。,2,1,2
1014411,占据,zhàn jù,动词,用武力取得或保持（地域等）。,占据地盘是许多动物为了生存而采取的重要行为。,敌军占据了重要的交通枢纽，切断了我们的补给线。,2,1,2
1014511,占领,zhàn lǐng,动词,用武力取得（领土或阵地）。,这家公司在短短几年内成功占领市场，赢得了消费者的信任。,经过激烈的战斗，我军成功占领了敌人的主要阵地。,2,1,2,
1014512,占领,zhàn lǐng,动词,拥有或控制。,通过创新技术和优质服务，他们迅速占领市场并扩大了影响力。,这款新产品在市场上占领了很大的份额，深受消费者喜爱。,2,1,1
1014711,章程,zhāng cheng,名词,解决问题的方法,心里还没个准章程，他决定再仔细思考一下这个问题。,他做事很有章程，总是能想出好办法解决问题。,2,1,2
1014911,障碍,zhàng ài,动词,阻挡前进或妨碍通过,障碍物挡住了去路，我们需要找到绕行的方法。,路上的大石头障碍了车辆的通行。,2,1,2
1015812,遮挡,zhē dǎng,名词,用于遮蔽的物体,草原上没有什么遮挡，风吹得特别猛烈。,这座山成了天然的遮挡，阻隔了寒冷的北风。,2,1,2
1016711,侦探,zhēn tàn,动词,秘密调查案件或机密,侦察兵的任务是侦探敌情，为部队提供重要情报。,警方正在侦探这起离奇的失踪案件，寻找蛛丝马迹。,2,1,2
1017212,镇静,zhèn jìng,动词,使情绪平静。,医生给她开了一些镇静剂以缓解焦虑。,医生用温和的话语镇静了紧张的患者。,2,1,2
1020411,知觉,zhī jué,名词,"反映客观事物的整体形象和表面联系的心理过程。知觉是在感觉的基础上形成的,比感觉复杂、完整。",由于撞击太猛烈，他瞬间失去了知觉。,心理学研究表明，人类的知觉会受到过往经验的影响。,2,1,1
1032811,走廊,zǒu láng,名词,房屋之间或屋檐下的有顶通道,河西走廊是中国历史上重要的交通要道。,医院走廊里挤满了等待就诊的病人和家属。,2,1,2
1032812,走廊,zǒu láng,名词,连接两地的狭长地带,河西走廊连接了中原与西域，促进了文化交流。,河西走廊是古代丝绸之路的重要通道，连接着东西方文明。,2,1,2
1033311,足以,zú yǐ,动词,完全可以；够得上,这些事实足以说明问题的严重性，我们必须采取措施。,这些证据足以证明被告人的清白。,2,1,1
1034211,尊严,zūn yán,名词,尊贵而庄严。,站在尊严的讲台上，他发表了令人深思的演讲。,升旗仪式上，每个人都保持着庄严的尊严。,2,1,1
2011512,参差,cēn cī,副词,表示大约、几乎,这些数据参差是正常的，因为来源不同。,他的说法与事实参差，让人难以完全相信。,2,1,1
2053423,烟火,yān huǒ,名词,军事信号或战争火焰,自从他出家后，便绝了烟火，过着清心寡欲的生活。,古代边境的烽火台上，日夜有人值守，以防烟火信号被延误。,2,1,2
