hanzi,definition_cn,definition_id,example_sn,example_cn,example_en,example_img
崴,山路不平,434921,1,海参崴是俄罗斯远东地区的重要港口城市。,Vladivostok is an important port city in Russia’s Far East.,
崴,用于地名,434922,1,海参崴是俄罗斯远东地区的重要港口城市。,Vladivostok is an important port city in Russia’s Far East.,
号,号角,61134,1,清晨的起床号响彻军营。,The wake-up call echoed through the military camp in the early morning.,
号,军队或乐队使用的铜管乐器,61135,1,清晨的起床号响彻军营。,The wake-up call echoed through the military camp in the early morning.,
号,号角吹出的信号声,61136,1,清晨的起床号响彻军营。,The wake-up call echoed through the military camp in the early morning.,
蜡,动物、植物或矿物产生的油质，可塑易燃，用于防水或制烛,231411,1,点上一支蜡。,Light a candle.,
蜡,用蜡制成的照明用品,231412,1,点上一支蜡。,Light a candle.,
爆,物体突然破裂或迸发。,144711,1,爆炸声震耳欲聋，所有人都惊慌失措。,"The explosion was deafening, and everyone was panic-stricken.",
炸,物体突然爆裂,150211,1,爆炸声震耳欲聋，所有人都惊慌失措。,"The explosion was deafening, and everyone was panic-stricken.",
戗,斜向支撑墙角的屋架结构,532721,1,用两根木头来戗住这堵墙。,Use two pieces of wood to prop up this wall.,
戗,用于支撑柱子或墙壁的木构件,532722,1,用两根木头来戗住这堵墙。,Use two pieces of wood to prop up this wall.,
戗,用物体支撑以防止倒塌,532723,1,用两根木头来戗住这堵墙。,Use two pieces of wood to prop up this wall.,
向导,带领路线,984111,1,登山队请了一位猎人当向导。,The mountaineering team hired a hunter as a guide.,
向导,带路的人,984112,1,登山队请了一位猎人当向导。,The mountaineering team hired a hunter as a guide.,
纲,生物学分类等级，位于门之下、目之上,158513,1,盐纲是古代盐业管理的重要制度。,The salt regulations were an important system for managing the salt industry in ancient times.,
纲,旧时成批运输货物的组织,158514,1,盐纲是古代盐业管理的重要制度。,The salt regulations were an important system for managing the salt industry in ancient times.,
饱和,溶液无法再溶解更多溶质的状态,799211,1,目前市场上洗衣机的销售已接近饱和。,"Currently, the sales of washing machines in the market are approaching saturation.",
饱和,达到最大容量的状态,799212,1,目前市场上洗衣机的销售已接近饱和。,"Currently, the sales of washing machines in the market are approaching saturation.",
抽象,从具体事物中提取本质属性,680911,1,看问题要根据具体的事实，不能从抽象的定义出发。,"To analyze a problem, one must base it on specific facts rather than abstract definitions.",
抽象,难以具体化的,680912,1,看问题要根据具体的事实，不能从抽象的定义出发。,"To analyze a problem, one must base it on specific facts rather than abstract definitions.",
迷信,对超自然力量的盲目信仰。,915411,1,破除迷信，解放思想，是推动社会进步的重要一步。,Breaking superstitions and freeing minds is an important step in promoting social progress.,
迷信,泛指盲目崇拜。,915412,1,破除迷信，解放思想，是推动社会进步的重要一步。,Breaking superstitions and freeing minds is an important step in promoting social progress.,
灶,厨房的代称,221012,1,祭灶是中国传统节日中的重要仪式。,The Kitchen God worship is an important ritual in traditional Chinese festivals.,
灶,灶神,221013,1,祭灶是中国传统节日中的重要仪式。,The Kitchen God worship is an important ritual in traditional Chinese festivals.,
稗,稗草，一种杂草,472611,1,稗史记录了许多民间故事和传说。,Unofficial histories record many folk stories and legends.,
稗,比喻微小或不正式的,472612,1,稗史记录了许多民间故事和传说。,Unofficial histories record many folk stories and legends.,
诱惑,引诱他人做坏事,1006211,1,窗外是一片诱惑人的景色。,Outside the window is a tempting view.,
诱惑,吸引；引诱,1006212,1,窗外是一片诱惑人的景色。,Outside the window is a tempting view.,
愈,(病)好,137911,1,经过一段时间的治疗，他的病终于痊愈了。,"After a period of treatment, his illness finally healed.",
痊,病愈,399011,1,经过一段时间的治疗，他的病终于痊愈了。,"After a period of treatment, his illness finally healed.",
底,底数的简称,55526,1,经过不懈的努力，我们终底于成，完成了这项艰巨的任务。,"Through relentless efforts, we finally succeeded in completing this arduous task.",
底,达到某种结果或状态,55527,1,经过不懈的努力，我们终底于成，完成了这项艰巨的任务。,"Through relentless efforts, we finally succeeded in completing this arduous task.",
轨道,由钢轨构成的供列车行驶的固定路径,865011,1,经过努力，生产已经走上轨道，效率显著提高。,"After much effort, production has gotten on track, and efficiency has significantly improved.",
轨道,天体围绕另一天体运行的路径,865012,1,经过努力，生产已经走上轨道，效率显著提高。,"After much effort, production has gotten on track, and efficiency has significantly improved.",
轨道,物体遵循特定规律的运动路径,865013,1,经过努力，生产已经走上轨道，效率显著提高。,"After much effort, production has gotten on track, and efficiency has significantly improved.",
轨道,行为或发展应遵循的规范框架,865014,1,经过努力，生产已经走上轨道，效率显著提高。,"After much effort, production has gotten on track, and efficiency has significantly improved.",
筛选,用筛子选择种子或矿物,945311,1,经过多年的杂交试验，筛选出优质高产的西瓜新品种。,"After years of crossbreeding experiments, a new high-quality and high-yield watermelon variety was selected.",
筛选,通过淘汰进行选择,945312,1,经过多年的杂交试验，筛选出优质高产的西瓜新品种。,"After years of crossbreeding experiments, a new high-quality and high-yield watermelon variety was selected.",
台阶,用砖、石或混凝土等材料建造的阶梯状结构，通常位于建筑物入口或坡道上,757211,1,给他们找个台阶儿下，免得场面太尴尬。,Give them a way out to avoid an awkward situation.,
台阶,比喻摆脱尴尬处境的途径或机会,757212,1,给他们找个台阶儿下，免得场面太尴尬。,Give them a way out to avoid an awkward situation.,
代价,购买物品所需的金额,831211,1,胜利是用血的代价换来的。,Victory was achieved at the cost of blood.,
代价,为实现目标所付出的资源或努力,831212,1,胜利是用血的代价换来的。,Victory was achieved at the cost of blood.,
屁股,臀部,925311,1,胡蜂的屁股上有刺。,There is a sting on the wasp's rear end.,
屁股,动物身体后端,925312,1,胡蜂的屁股上有刺。,There is a sting on the wasp's rear end.,
茜,茜草。,442521,1,茜纱是一种轻薄透明的布料。,Organdy is a kind of thin and transparent fabric.,
茜,红色。,442522,1,茜纱是一种轻薄透明的布料。,Organdy is a kind of thin and transparent fabric.,
棋,一类棋类游戏，如象棋、围棋等,211911,1,落棋无悔。,"Once a chess piece is placed, there is no regret.",
棋,棋类游戏中的棋子,211912,1,落棋无悔。,"Once a chess piece is placed, there is no regret.",
蜜,蜜蜂采集花蜜酿成的甜物质,181911,1,蜜蜂正在花丛中酿蜜。,The bees are making honey among the flowers.,
酿,蜜蜂做蜜,260012,1,蜜蜂正在花丛中酿蜜。,Bees are making honey among the flowers.,
摆,钟摆装置,98014,1,解决问题时，我们要摆事实，讲道理。,"When solving problems, we need to present the facts and explain the reasoning.",
摆,钟表调速装置,98015,1,解决问题时，我们要摆事实，讲道理。,"When solving problems, we need to present the facts and explain the reasoning.",
摆,陈述说明,98016,1,解决问题时，我们要摆事实，讲道理。,"When solving problems, we need to present the facts and explain the reasoning.",
套,用绳子等结成的环状物。,101721,1,解题时不要生搬硬套公式，要灵活运用。,"When solving problems, do not mechanically apply formulas; use them flexibly.",
套,模仿,101722,1,解题时不要生搬硬套公式，要灵活运用。,"When solving problems, do not mechanically apply formulas; use them flexibly.",
颂,赞美歌颂,225811,1,诗人用优美的语言歌颂祖国的大好河山。,The poet praised the great rivers and mountains of the motherland with beautiful language.,
歌颂,用诗歌或文字赞美,857111,1,诗人用优美的语言歌颂祖国的大好河山。,The poet praised the magnificent rivers and mountains of the motherland with beautiful language.,
共鸣,"物体因共振而发声的现象,如两个频率相同的音叉靠近,其中一个振动发声时,另一个也会发声。",861011,1,诗人的爱国主义思想感染了读者，引起了他们的共鸣。,The patriotic thoughts of the poet infected the readers and aroused their resonance.,
共鸣,由别人的某种情绪引起的相同的情绪,861012,1,诗人的爱国主义思想感染了读者，引起了他们的共鸣。,The patriotic thoughts of the poet infected the readers and aroused their resonance.,
工具,生产劳动使用的器具，如锯、刨、犁、锄等。,623211,1,语言是人们交流思想的工具。,Language is a tool for people to exchange ideas.,
工具,比喻用以达到目的的事物。,623212,1,语言是人们交流思想的工具。,Language is a tool for people to exchange ideas.,
诰,上级对下级的告诫,497611,1,诰封是对官员及其家属的一种荣誉性封赠。,An imperial edict conferring titles is an honorary grant given to officials and their families.,
诰,告诫性的文章,497612,1,诰封是对官员及其家属的一种荣誉性封赠。,An imperial edict conferring titles is an honorary grant given to officials and their families.,
知,使知道,18612,1,请尽快通知相关人员参加会议。,Please notify the relevant personnel to attend the meeting as soon as possible.,
通,传达;使知道,19315,1,请尽快通知相关人员参加会议。,Please notify the relevant personnel to attend the meeting as soon as possible.,
某,自称代称,52513,1,请转告刘某，做事不要太过分。,Please tell Mr. Liu not to go too far with his actions.,
某,代指他人（常含贬义）,52514,1,请转告刘某，做事不要太过分。,Please tell Mr. Liu not to go too far with his actions.,
赤,比朱红色稍浅的红色,141911,1,赤小豆是一种常见的食材，常用来煮粥。,"Adzuki beans are a common ingredient, often used to cook porridge.",
赤,泛指各种红色,141912,1,赤小豆是一种常见的食材，常用来煮粥。,"Adzuki beans are a common ingredient, often used to cook porridge.",
碗,盛饮食的圆形器具,158211,1,轴碗儿是机械装置中的一个重要部件。,The bearing bowl is an important component in mechanical devices.,
碗,像碗的东西,158212,1,轴碗儿是机械装置中的一个重要部件。,The bearing bowl is an important component in mechanical devices.,
熨,形容用词准确恰当，符合语境。,433521,1,这一番坦诚的谈话，说得他心里十分熨帖。,This frank conversation made him feel very comforted inside.,
熨,形容心情平静安宁。,433522,1,这一番坦诚的谈话，说得他心里十分熨帖。,This frank conversation made him feel very comforted inside.,
遗,丢失物品,96621,1,这个地方治安很好，路不拾遗。,The security here is excellent; no one picks up lost items on the road.,
遗,丢失的物品,96622,1,这个地方治安很好，路不拾遗。,The security here is excellent; no one picks up lost items on the road.,
低回,〈动词〉来回走动,2036111,1,这个地方风景优美，使人低回不忍离去。,The beautiful scenery of this place makes people linger with reluctance to leave.,
低回,〈动词〉因留恋而不愿离开,2036112,1,这个地方风景优美，使人低回不忍离去。,The beautiful scenery of this place makes people linger with reluctance to leave.,
卫星,围绕行星运行且自身不发光的天体,975511,1,这个城市是一个卫星城市。,This city is a satellite city.,
卫星,像卫星般环绕中心运行的,975512,1,这个城市是一个卫星城市。,This city is a satellite city.,
网络,网状系统,973311,1,这个新兴城市已经形成合理的经济网络。,This emerging city has already formed a reasonable economic network.,
网络,互联系统,973312,1,这个新兴城市已经形成合理的经济网络。,This emerging city has already formed a reasonable economic network.,
脖,连接头部和躯干的部位。,198511,1,这个瓶子脖儿长，设计很特别。,"This bottle has a long neck, which makes its design unique.",
脖,器物上类似脖子的部分。,198512,1,这个瓶子脖儿长，设计很特别。,"This bottle has a long neck, which makes its design unique.",
圭,古代帝王诸侯使用的上尖下方玉器,401211,1,这些原则成为了行业的圭臬。,These principles have become the industry standard.,
圭,古代测量日影的仪器,401212,1,这些原则成为了行业的圭臬。,These principles have become the industry standard.,
泉,泉水的出口,155812,1,这些泉币是古代货币的重要组成部分。,These spring coins were an important part of ancient currency.,
泉,古代钱币的称呼,155813,1,这些泉币是古代货币的重要组成部分。,These spring coins were an important part of ancient currency.,
玮,一种玉的名称,504611,1,这些珠宝被称为明珠玮宝，因其价值连城。,These jewels are called 'mingzhu weibao' because of their priceless value.,
玮,珍奇或贵重,504612,1,这些珠宝被称为明珠玮宝，因其价值连城。,These jewels are called 'mingzhu weibao' because of their priceless value.,
地理,地理学,688712,1,这位地理先生（看风水的人）在当地颇有名气。,This 'geography master' (a person who reads feng shui) is quite famous locally.,
地理,方言中指风水,688713,1,这位地理先生（看风水的人）在当地颇有名气。,This 'geography master' (a person who reads feng shui) is quite famous locally.,
师范,师范学校的简称,951211,1,这位老师为世师范，深受学生们的尊敬和爱戴。,"This teacher is a role model for the world, deeply respected and loved by students.",
师范,可效仿的楷模,951212,1,这位老师为世师范，深受学生们的尊敬和爱戴。,"This teacher is a role model for the world, deeply respected and loved by students.",
额,眉毛以上头发以下的面部区域,89711,1,这块匾额上写着“天下第一”。,The plaque reads “Number One Under Heaven”.,
额,牌匾,89712,1,这块匾额上写着“天下第一”。,The plaque reads “Number One Under Heaven”.,
瘦,脂肪少，体型纤细,170711,1,"这块肉太肥,我要瘦点儿的。","This piece of meat is too fatty, I want a leaner one.",
瘦,(食用的肉)脂肪少(跟‘肥’相对),170712,1,"这块肉太肥,我要瘦点儿的。","This piece of meat is too fatty, I want a leaner one.",
翁,父亲。,233212,1,这对新人向翁姑（公公和婆婆）敬茶，表达孝心。,The newlyweds served tea to their翁姑 (father-in-law and mother-in-law) to express filial piety.,
翁,丈夫的父亲。,233213,1,这对新人向翁姑（公公和婆婆）敬茶，表达孝心。,The newlyweds served tea to their翁姑 (father-in-law and mother-in-law) to express filial piety.,
出口,船只离港,681312,1,这批出口货已经通过了严格的质量检测。,This batch of export goods has passed strict quality inspections.,
出口,商品外销,681313,1,这批出口货已经通过了严格的质量检测。,This batch of export goods has passed strict quality inspections.,
化学,研究物质组成与变化的自然科学,708811,1,这把梳子是化学的。,This comb is made of chemical materials.,
化学,赛璐珞的通俗叫法,708812,1,这把梳子是化学的。,This comb is made of chemical materials.,
椅,有靠背的坐具,176221,1,这把红木椅子做工精细，是祖上传下来的老物件。,This mahogany chair is exquisitely crafted and is an heirloom passed down from ancestors.,
椅子,有靠背的坐具，多用木材、竹子等制成,564911,1,这把红木椅子做工精细，是祖上传下来的老物件。,This mahogany chair is exquisitely crafted and is an antique passed down from ancestors.,
遇,机会,98913,1,这是一个难得的机遇，我们必须好好把握。,"This is a rare opportunity, and we must seize it well.",
机遇,有利的时机或境遇,877011,1,这是一个难得的机遇，我们必须好好把握。,This is a rare opportunity that we must seize.,
逼,狭窄,168914,1,这条小巷十分逼仄，仅容一人通过。,"This alley is very narrow, allowing only one person to pass through.",
仄,狭窄,428611,1,这条小巷十分逼仄，仅容一人通过。,"This alley is very narrow, allowing only one person to pass through.",
客户,旧指租种地主土地的农户,898811,1,这次展销的新产品受到国内外客户的欢迎。,The new products displayed at this exhibition are well-received by customers both domestically and internationally.,
客户,旧指从外地迁来的住户,898812,1,这次展销的新产品受到国内外客户的欢迎。,The new products displayed at this exhibition are well-received by customers both domestically and internationally.,
客户,企业或经纪人的交易对象,898813,1,这次展销的新产品受到国内外客户的欢迎。,The new products displayed at this exhibition are well-received by customers both domestically and internationally.,
游,各处从容地行走;闲逛,69512,1,这次游览让我对这座城市有了更深的了解。,This tour gave me a deeper understanding of the city.,
览,观看；阅读。,186211,1,这次游览让我对这座城市有了更深的了解。,This游览 gave me a deeper understanding of this city.,
则,模仿或效法,26513,1,这次考试有试题三则。,This exam includes three test questions.,
则,用于计量分项内容,26514,1,这次考试有试题三则。,This exam includes three test questions.,
炭,木炭的统称,190911,1,这种山查炭非常适合用来烧烤。,This kind of charcoal is perfect for barbecuing.,
炭,类似炭的物质,190912,1,这种山查炭非常适合用来烧烤。,This kind of charcoal is perfect for barbecuing.,
晋,周朝国名，位于今山西等地,175013,1,这种晋种方法在农业领域得到了广泛应用。,This method of seed promotion has been widely used in agriculture.,
晋,"朝代,公元265—420,司马炎所建。",175014,1,这种晋种方法在农业领域得到了广泛应用。,This method of seed promotion has been widely used in agriculture.,
晋,后晋,175015,1,这种晋种方法在农业领域得到了广泛应用。,This method of seed promotion has been widely used in agriculture.,
晋,山西省的别称,175016,1,这种晋种方法在农业领域得到了广泛应用。,This method of seed promotion has been widely used in agriculture.,
晋,姓氏,175017,1,这种晋种方法在农业领域得到了广泛应用。,This method of seed promotion has been widely used in agriculture.,
晋,浸泡在液体中,175018,1,这种晋种方法在农业领域得到了广泛应用。,This method of seed promotion has been widely used in agriculture.,
皮肤,覆盖在肌肉外部的组织，具有保护、调节体温等功能,640411,1,这种观点只是皮肤之见，缺乏深度分析。,This point of view is only skin-deep and lacks in-depth analysis.,
皮肤,比喻浅薄、不深入,640412,1,这种观点只是皮肤之见，缺乏深度分析。,This point of view is only skin-deep and lacks in-depth analysis.,
影,祖先画像（旧时）。,34915,1,这篇影评深入分析了电影的主题。,This film review provides an in-depth analysis of the movie's theme.,
影,电影。,34916,1,这篇影评深入分析了电影的主题。,This film review provides an in-depth analysis of the movie's theme.,
语言,人类表达和交流思想的工具,661211,1,这篇文章语言乏味，缺乏吸引读者的亮点。,This article is dull in language and lacks highlights to attract readers.,
语言,话语；口语,661212,1,这篇文章语言乏味，缺乏吸引读者的亮点。,This article is dull in language and lacks highlights to attract readers.,
景色,风景；景观,719411,1,这里的景色迷人，吸引了无数游客前来观赏。,"The scenery here is enchanting, attracting countless tourists to come and admire it.",
迷人,吸引人或令人陶醉。,915211,1,这里的景色迷人，吸引了无数游客前来观赏。,"The scenery here is enchanting, attracting countless tourists to visit.",
想,思考,11511,1,遇到困难时，我们需要想办法解决。,"When encountering difficulties, we need to find ways to solve them.",
办法,解决问题或处理事务的方式,581611,1,遇到困难时，我们需要想办法解决。,"When we encounter difficulties, we need to find ways to solve them.",
霸道,中国古代政治哲学中指凭借武力、刑法、权势等进行统治的政策。,796821,1,那些恶势力横行霸道，让百姓苦不堪言。,"The evil forces run rampant, making life unbearable for ordinary people.",
霸道,强横不讲理;蛮横,796822,1,那些恶势力横行霸道，让百姓苦不堪言。,"The evil forces run rampant, making life unbearable for ordinary people.",
影子,镜面或水面反射的影像。,778812,1,那件事我连点儿影子也记不得了。,I can't remember even a trace of that matter.,
影子,模糊的痕迹。,778813,1,那件事我连点儿影子也记不得了。,I can't remember even a trace of that matter.,
把关,守卫关卡,796511,1,集体编写的著作，应由主编负责把关。,"For collectively written works, the chief editor should be responsible for finalizing them.",
把关,严格检查以防差错,796512,1,集体编写的著作，应由主编负责把关。,"For collectively written works, the chief editor should be responsible for finalizing them.",
对策,古代应考者回答治国策略,841211,1,面对突发情况，大家坐下来商量对策。,"Faced with an emergency, everyone sat down to discuss countermeasures.",
对策,应对问题的策略,841212,1,面对突发情况，大家坐下来商量对策。,"Faced with an emergency, everyone sat down to discuss countermeasures.",
风暴,刮大风而且往往同时有大雨的天气现象。,849911,1,革命的风暴。,The storm of revolution.,
风暴,重大动荡事件,849912,1,革命的风暴。,The storm of revolution.,
翅膀,翅的俗称。,680211,1,飞机翅膀的设计直接影响飞行的稳定性和安全性。,The design of the airplane wings directly affects the stability and safety of the flight.,
翅膀,形状或功能类似翅膀的物体部分。,680212,1,飞机翅膀的设计直接影响飞行的稳定性和安全性。,The design of the airplane wings directly affects the stability and safety of the flight.,
