rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
10796,2,收录,shōu lù,,,动,借助收录机将声音接收并录制下来,这盒磁带收录了歌曲20首。,record; to receive and record sound using a recorder
10796,3,收录,shōu lù,,,动,接纳录用,收录新工人,recruit; to admit and employ
10797,1,处方,chǔ fāng,,,名,医生开的药方或据以配制成药的现成药方,有些药要凭处方购买｜药典里面有各种各样的处方。,prescription; a doctor's written order for medicine or a ready-made formula for preparing medicine
10797,2,处方,chǔ fāng,,,动,医生为病人开药方,医生不了解病情，很难处方。,prescribe; for a doctor to write a prescription for a patient
10798,1,卢布,lú bù,,,名,俄罗斯、塔吉克斯坦等国的本位货币,他去俄罗斯旅游换了卢布。｜卢布汇率最近有波动。,"ruble; the standard currency of Russia, Tajikistan, and other countries"
10798,2,卢布,lú bù,,,量,俄罗斯、塔吉克斯坦等国的本位货币单位,这件商品价值一千卢布。｜他付了五百卢布。,"ruble; the standard monetary unit of Russia, Tajikistan, and other countries"
10799,1,军阀,jūn fá,,,名,旧时指拥有军队，自成派系，操纵政治，割据一方的人,军阀割据｜军阀混战,"warlord; in old times, refers to a person who had an army, formed a faction, manipulated politics, and carved out a domain"
10800,1,自由泳,zì yóu yǒng,,,名,一种游泳姿势，运动员可以采用任何一种姿势游完全程。由于爬泳速度最快，在自由泳中运动员通常采用爬泳，所以自由泳也成为爬泳的代称,他自由泳游得很快。｜自由泳是我的强项。,"freestyle; a swimming style where athletes can use any stroke to complete the course. Since the front crawl is the fastest, athletes usually use it in freestyle, so freestyle also becomes a synonym for the front crawl"
10800,2,自由泳,zì yóu yǒng,,,名,指这种游泳运动项目,自由泳比赛即将开始。｜她获得了自由泳金牌。,freestyle; refers to this swimming event
10801,1,远征,yuǎn zhēng,,,动,远道出征；长途行军,红军不怕远征难｜远征北冰洋｜远征军,expedition; to go on a long-distance campaign; to march over a long distance
10802,1,任免,rèn miǎn,,,动,任命和免去（职务）,任免驻外大使｜进行人事任免,appoint and dismiss; to appoint and remove (from a position)
10803,1,清查,qīng chá,,,动,清点检查；彻底检查,清查固定资产｜清查外来人口,check thoroughly; to inventory and inspect; to examine thoroughly
10804,1,生火,shēng huǒ,,,动,点燃炉灶中的柴、煤等,生火取暖,"light a fire; to ignite firewood, coal, etc., in a stove"
10805,1,风筝,fēng zheng,,,名,一种传统的娱乐健身玩具。用竹篾等捆扎成禽、虫、鱼、龙等形状的骨架，糊上纸或绢，借助风力在空中飘动，人拉着系在上面的长线控制,孩子在公园放风筝。｜风筝飞得很高。,"kite; a traditional recreational and fitness toy. Made by tying bamboo strips into frames shaped like birds, insects, fish, dragons, etc., covered with paper or silk, and flown in the air with the wind, controlled by a long string attached to it"
10806,1,步履,bù lǚ,,,名,行走的脚步,步履蹒跚｜步履从容,gait; the step of walking
10807,1,思绪,sī xù,,,名,思想的头绪；情绪,思绪清晰｜思绪难平,train of thought; the thread of thinking; mood
10808,1,风趣,fēng qù,,,形,（言语、文字等）幽默有趣,小王的话很风趣,"humorous; (of speech, writing, etc.) amusing and interesting"
10808,2,风趣,fēng qù,,,名,指幽默有趣的情调、品位,颇有风趣,wit; refers to a humorous and interesting style or taste
10810,1,矗立,chù lì,,,动,高耸直立,一对华表矗立在金水桥畔。,stand tall; to tower upright
10811,1,总分,zǒng fēn,,,名,（考试或竞赛中）各科或各项得分的总和,他考试总分第一名。｜总分计算需要仔细。,total score; the sum of scores from various subjects or items (in exams or competitions)
10813,1,波澜,bō lán,,,名,大的波浪；波涛,大海掀起巨大波澜。｜波澜壮阔的景色。,billows; large waves; surges
10816,1,开关,kāi guān,,,名,用来接通或切断电路的器件,请打开电灯开关。｜开关坏了需要修理。,switch; a device used to connect or disconnect an electrical circuit
10816,2,开关,kāi guān,,,名,安在管道上控制流体或气体流量的装置,煤气管道开关,valve; a device installed on a pipeline to control the flow of fluid or gas
10817,1,京师,jīng shī,,,名,首都,京师是古代首都。｜他前往京师任职。,capital; the capital city
10818,1,与众不同,yǔ zhòng bù tóng,,,,跟众人不一样,她的打扮与众不同。｜想法与众不同。,different from the ordinary; unlike the majority
10820,1,追捕,zhuī bǔ,,,动,追逐逮捕,追捕犯罪嫌疑人,pursue and capture; to chase and arrest
10821,1,上达,shàng dá,,,动,（把下层或下属的意见）传达给上层或上级,下情上达｜上达民情,Report to higher authorities
10822,1,搭配,dā pèi,,,动,按照一定标准或要求分配组合,词语搭配不当｜合理搭配,Match
10822,2,搭配,dā pèi,,,动,互相配合,师徒搭配默契,Coordinate
10822,3,搭配,dā pèi,,,形,彼此相称（chèn）,上衣跟裙子的颜色很不搭配。,Well-matched
10823,1,名目,míng mù,,,名,名称；名义（多用于贬义）,巧立名目｜以各种名目乱收费。,Name (often derogatory)
10825,1,八成,bā chéng,,,副,表示推测，相当于“多半”,好几天没见他的面，八成是出差了。,Most likely
10825,2,八成,bā chéng,,,,十分之八,任务已经完成了八成。,Eighty percent
10826,1,才干,cái gàn,,,名,能力,他有领导才干,Ability
10827,1,幸亏,xìng kuī,,,副,表示由于依托某种条件而侥幸避免了不良后果,幸亏带了雨衣，要不就要挨淋了。,Fortunately
10828,1,论断,lùn duàn,,,名,对事物的性质、规律作出的结论性判断,“科学技术是第一生产力”是科学的论断。,Judgment
10828,2,论断,lùn duàn,,,动,通过论证作出判断,对这个问题缺乏研究，不好论断。,Judge through reasoning
10829,1,问卷,wèn juàn,,,名,进行调查或征求意见用的卷子，上面列有若干问题让人回答,发放调查问卷5000份。,Questionnaire
10830,1,枕头,zhěn tou,,,名,躺着时用来垫头的东西,我买了一个新枕头。｜枕头很柔软舒适。,Pillow
10831,1,歌舞团,gē wǔ tuán,,,名,表演唱歌、舞蹈的艺术团体,歌舞团表演很精彩。｜他加入了歌舞团。,Song and dance troupe
10832,1,转基因,zhuǎn jī yīn,,,动,应用遗传工程技术，从某种生物中提取所需要的基因转入另一种生物的基因组中，使这一生物体具有特定的优良遗传特征。动植物转基因技术可以用来改良生物品种，培育生物新品种,科学家在研究转基因。｜转基因作物有争议。,Genetically modify
10834,1,放射性,fàng shè xìng,,,名,某些元素（如镭、铀等）的不稳定的原子核自发地放出射线而衰变为另一种原子核的性质,放射性元素｜放射性武器,Radioactivity
10834,2,放射性,fàng shè xìng,,,名,医学上指由一个痛点向四周扩展的病象,疼痛有放射性特点。｜放射性疼痛难忍。,Radiating pain
10835,1,宾主,bīn zhǔ,,,名,客人和主人,宾主共同举杯庆贺。,Guest and host
10836,1,企业文化,qǐ yè wén huà,,,,企业长期形成的本企业的价值观、作风、行为规范、规章制度以及各种文化活动和文化设施等的总和,企业文化很重要。｜公司注重企业文化。,Corporate culture
10838,1,遗弃,yí qì,,,动,抛弃自己在法律或道义上应当抚养或赡养的亲属,被父母遗弃｜他不该遗弃老母亲。,Abandon (family members)
10838,2,遗弃,yí qì,,,动,丢弃；抛弃,遗弃杂物,Discard
10839,1,机枪,jī qiāng,,,名,带有支架等固定装置，可以自动连续发射子弹的枪械。有轻机枪、重机枪、大口径机枪等。旧称机关枪,士兵端着机枪射击。｜机枪火力很猛。,Machine gun
10841,1,善意,shàn yì,,,名,好意；良好的心愿,善意相劝｜他批评你，是出于善意。,Goodwill
10842,1,乔木,qiáo mù,,,名,树干高大，且主干与分枝区别明显的木本植物。如松、柏、榆等,松树是常见乔木。｜乔木高大挺拔。,Tree
10843,1,控告,kòng gào,,,动,向国家机关、司法机关揭露某个人或集体违法、失职或犯罪的事实，并要求依法惩治,他向法院控告对方。｜控告材料已提交。,Accuse
10844,1,加热,jiā rè,,,动,使物体温度升高,在电炉上加热,Heat
10845,1,糊糊,hú hu,,,名,某些地区指用玉米面或面粉等搅拌熬成的黏稠食品,早上喝碗玉米糊糊。｜糊糊营养又暖胃。,Porridge
10846,1,意境,yì jìng,,,名,指由特定的艺术形象及其所触发的艺术想象所形成的境界,意境深远,Artistic conception
10847,1,讲课,jiǎng kè,,,动,讲授功课,老师正在讲课。｜他讲课很生动。,Teach a lesson
10848,1,父老,fù lǎo,,,名,对乡里老年人的尊称,父老乡亲｜家乡的父老,Elders
10849,1,难为,nán wei,,,动,客套话，用于请求别人为自己做事或做事后表示谢意,替我值夜班，真难为你了。,Trouble (polite request/thanks)
10849,2,难为,nán wei,,,动,使人为难,你就别难为他了,Make things difficult
10849,3,难为,nán wei,,,动,多亏（某人做了一般不易做到的事）,这次旅游难为他安排得那么周到。,Thanks to (for difficult task)
10851,1,退还,tuì huán,,,动,退回；交还,稿件退还本人,Return
10852,1,烧毁,shāo huǐ,,,动,由于燃烧而毁坏、毁灭,烧毁的古城遗址,Burn down
10853,1,不振,bù zhèn,,,形,不振作,萎靡不振｜一蹶不振,Listless
10854,1,行道,xíng dào,,,名,【道路】供人或车马通行的带状地面,行道两旁有成行（háng）的槐树。,Road
10854,2,行道,xíng dào,,,动,旧指推行某种政治主张或推行天的旨意,立身行道｜替天行道,Promote (doctrine)
10855,1,偷渡,tōu dù,,,动,偷偷渡过被封锁的江河湖海；也指偷越国境或关卡,缉拿偷渡的贩毒分子。,Stow away
10856,1,无理,wú lǐ,,,动,没有理由；没有道理,无理狡辩,Unreasonable
10857,1,债权人,zhài quán rén,,,名,依照法律或合同规定，有权要求债务人偿还债款的人,债权人有追偿权利。｜债权人提出申请。,Creditor
10859,1,谣言,yáo yán,,,名,凭空捏造的消息,谣言四起｜不相信谣言，也不传播谣言。,Rumor
10860,1,炎黄,yán huáng,,,名,我国古代传说中的炎帝和黄帝的合称。借指中华民族的祖先,炎黄是华夏祖先。｜我们都是炎黄子孙。,Yan and Huang (ancestors)
10862,1,照相机,zhào xiàng jī,,,名,照相用的机器，由镜头、暗箱、快门以及测光、测距、取景等装置构成,我带了照相机拍照。｜照相机像素很高。,Camera
10863,1,铺设,pū shè,,,动,铺放；建造,铺设管道｜铺设铁轨,Lay
10864,1,奉命,fèng mìng,,,动,接受使命；遵照命令（做某事）,奉命奔赴抗洪抢险第一线。,Obey orders
10865,1,开张,kāi zhāng,,,动,新建的商店、旅馆等开始营业（跟“关张”相对）,百货店就要开张了。,Open for business
10865,2,开张,kāi zhāng,,,动,营业单位一天中第一次成交,店铺今天刚开张。｜开张第一天很忙。,First sale of the day
10866,1,幸好,xìng hǎo,,,副,幸亏,幸好他在才没误事。,Fortunately
10867,1,飘扬,piāo yáng,,,动,飘动飞扬,五星红旗迎风飘扬｜柳絮四处飘扬,Flutter
10868,1,坚韧,jiān rèn,,,形,顽强而持久,意志坚韧,Tenacious
10868,2,坚韧,jiān rèn,,,形,坚固而有韧性,桑木扁担非常坚韧。,Tough
10869,1,优越性,yōu yuè xìng,,,名,比别的同类事物优越的性质,充分发挥社会主义市场经济的优越性。,Superiority
10870,1,默契,mò qì,,,名,秘密的约定或口头协议,达成默契,Tacit agreement
10870,2,默契,mò qì,,,形,形容彼此无须用语言表达，即可心灵相通,二人配合得非常默契。,Tacit understanding
10871,1,冷清,lěng qīng,,,形,冷落凄清,场面十分冷清,Desolate
10872,1,情理,qíng lǐ,,,名,人的常情和事的常理,不通情理｜他这样做也在情理之中。,Reason
10873,1,据实,jù shí,,,动,根据事实；根据实际情况,据实招来｜据实上报,According to facts
10874,1,下月,xià yuè,,,名,下一个月；后一个月,计划下月实施。｜下月我要出差。,Next month
10875,1,首选,shǒu xuǎn,,,动,首先选择,这次游山，我首选黄山｜首选阵容,First choice
10876,1,事机,shì jī,,,名,事情的机密,事机败露,Confidential matter
10876,2,事机,shì jī,,,名,成就事情的机会,贻误事机,Opportunity
10877,1,视频,shì pín,,,名,在电视或雷达中，由图像转换而成或可转换成图像的电信号的频率,视频通话很方便。｜这个视频很清晰。,Video frequency
10879,1,不畅,bù chàng,,,形,不通畅；不舒畅,交通不畅｜心情不畅,Unclear (flow/feeling)
10880,1,专电,zhuān diàn,,,名,记者专门为本报社、电台发来的电讯,本报记者悉尼专电。,Special dispatch
10881,1,缔结,dì jié,,,动,结合；特指国家之间订立条约、协定等,缔结良缘｜两国缔结友好条约。,Conclude (treaty)
10882,1,按期,àn qī,,,副,按照规定的期限,按期完成,On schedule
10883,1,威信,wēi xìn,,,名,威望和信誉,廉洁公正才有威信｜威信扫地,Prestige
10884,1,覆盖面,fù gài miàn,,,名,覆盖的范围,这场大雪的覆盖面很广。,Coverage area
10884,2,覆盖面,fù gài miàn,,,名,事物影响、涉及或传播的范围,电视的覆盖面越来越广。,Scope of influence
10885,1,不见得,bù jiàn dé,,,副,未必；不一定,说他上不了大学，那倒也不见得｜这样做，不见得会有好结果。,Not necessarily
10886,1,相干,xiāng gān,,,动,有关系或有牵涉（常用于否定或反问）,与你不相干的事，不要多问!｜跟他有什么相干?,Relevant (often in negative)
10887,1,简洁,jiǎn jié,,,形,简明扼要，干净利索,文字简洁，没有废话。,Concise
10888,1,该死,gāi sǐ,,,动,表示厌恶、憎恨、埋怨或自责等,这个该死的家伙!｜我该死，都怨我没长脑子!,Damn
10889,1,雨天,yǔ tiān,,,名,下雨的日子；下雨的天气,雨天路滑要小心。｜我喜欢雨天氛围。,Rainy day
10890,1,会意,huì yì,,,名,汉字六书之一，指把两个或两个以上已有的独体字组合起来表示一个新的意义的造字方法。如“休”由“亻”和“木”组成，人靠着木，表示休息,会意是汉字的一种造字法。｜“休”字是会意字。,Associative compound (character)
10890,2,会意,huì yì,,,动,会心,他会意地笑了笑。｜两人会意对视。,Understanding
10893,1,初衷,chū zhōng,,,名,本意；本心；当初的意愿,初衷未改｜这绝非我的初衷,Original intention
10894,1,室外,shì wài,,,名,屋子外面,室外空气很新鲜。｜孩子在室外玩耍。,Outdoors
10895,1,主线,zhǔ xiàn,,,名,事物发展的主要线索；文艺作品情节发展的主要线索,这是故事的主线。｜主线情节很紧凑。,Main thread
10896,1,尖叫,jiān jiào,,,动,用尖厉的声音喊叫,吓得她尖叫一声,Scream
10897,1,要塞,yào sài,,,名,战略地位重要、防御设施坚固的军事要地,边防要塞,Fortress
10899,1,推崇,tuī chóng,,,动,崇敬；尊崇,深受推崇,Hold in esteem
10900,1,千米,qiān mǐ,,,量,长度法定计量单位，1千米等于1000米，合2市里。,这座桥长约一千米。｜他每天跑三千米。,Kilometer
10901,1,无尽,wú jìn,,,动,没有穷尽,无尽的哀思｜无穷无尽,Endless
10902,1,眼皮,yǎn pí,,,名,眼睑的通称,他眼皮在跳动。｜眼皮有些浮肿。,Eyelid
10903,1,头球,tóu qiú,,,名,足球运动中用头传接或攻门的球,擅长头球｜头球攻门,Header (soccer)
10904,1,召唤,zhào huàn,,,动,呼唤。多用于比喻,祖国在召唤,Summon
10905,1,狂欢,kuáng huān,,,动,纵情欢乐,围着篝火狂欢,Revel
10906,1,枪杀,qiāng shā,,,动,开枪打死（多用于敌人、歹徒杀害无辜的人）,枪杀无辜,Shoot dead
10907,1,负重,fù zhòng,,,动,背（bēi）着重物,负重行军,Carry heavy load
10907,2,负重,fù zhòng,,,动,担负重任,忍辱负重,Shoulder heavy responsibility
10908,1,突起,tū qǐ,,,动,突然发生或出现,异军突起｜传染病突起,Suddenly appear
10909,1,诺言,nuò yán,,,名,对人有所许诺的话,你要说话算数，不能违背自己的诺言｜信守诺言,Promise
10910,1,风声,fēng shēng,,,名,比喻透露出来的消息；特指不好的消息,走漏风声｜这几天外边风声很紧。,News (often bad)
10910,2,风声,fēng shēng,,,名,风吹的响声,窗外传来风声。｜风声呼呼作响。,Sound of wind
10911,1,耻辱,chǐ rǔ,,,名,声誉上受到的羞辱；可耻的事,鸦片战争使中国蒙受了极大的耻辱。,Disgrace
10912,1,金星,jīn xīng,,,名,太阳系八大行星之一。绕太阳公转周期约224.7天，自转周期约243天。自转方向和其他行星相反，自东向西逆转。除太阳、月亮外，它是天空中肉眼能看到的最亮的星。我国古代称太白星,金星非常明亮。｜今晚能看到金星。,Venus (planet)
10912,2,金星,jīn xīng,,,名,金色的五角星，常用作勋章,金星英雄｜金星奖章,Gold star
10912,3,金星,jīn xīng,,,名,人在头晕眼花时眼前出现的小星星似的闪动光点,两眼直冒金星,Stars (before eyes)
10913,1,通红,tōng hóng,,,形,非常红,哭得两眼通红,Bright red
10915,1,定论,dìng lùn,,,名,确定的论断,此事尚无定论,Established conclusion
10916,1,私自,sī zì,,,副,背着组织或有关人员（做违反法律或规章制度的事）,严禁私自生产、经营有毒药材｜私自外出,Secretly
10917,1,逾期,yú qī,,,动,超过原定的期限,逾期不补｜逾期作废,Exceed the deadline
10918,1,怒气,nù qì,,,名,愤怒的情绪,满脸怒气｜怒气冲冲,Anger
10920,1,国家标准,guó jiā biāo zhǔn,,,,全国通用的技术标准。我国的国家标准由国务院标准化行政主管部门组织制定并发布，分为强制性标准和推荐性标准。简称国标,产品符合国家标准。｜国家标准要遵守。,National standard
10921,1,退税,tuì shuì,,,动,在对外贸易中，为奖励出口，在纳税人所缴税款中退回部分税款,准予退税,Tax refund
10921,2,退税,tuì shuì,,,动,退还错征或多征的税款,申请退税成功了。｜退税金额已到账。,Tax rebate
10922,1,光亮,guāng liàng,,,形,明亮,汽车擦得很光亮,Bright
10922,2,光亮,guāng liàng,,,名,亮光,油灯的光亮越来越暗淡了。,Light
10923,1,购买力,gòu mǎi lì,,,名,指个人或社会集团在一定时期内购买商品和支付生活费用的能力，即货币的拥有量,居民购买力｜社会集团购买力,Purchasing power
10923,2,购买力,gòu mǎi lì,,,名,指单位货币在一定时期内购买商品的能力,人民币购买力稳中有升。,Purchasing power of currency
10925,1,口径,kǒu jìng,,,名,器物圆口的内径,小口径步枪,Caliber
10925,2,口径,kǒu jìng,,,名,比喻说话的内容、对问题的处理原则等（多就双方或多方来说）,要和上级的指示对上口径｜两个人讲话的口径不一致。,Approach
10926,1,暴行,bào xíng,,,名,残暴的行为,揭露殖民主义者的暴行。,Atrocity
10927,1,忧心,yōu xīn,,,动,担心；担忧,令人忧心,Worry
10927,2,忧心,yōu xīn,,,名,忧愁的心情,饱含忧心和激情｜忧心忡忡,Anxiety
10928,1,派驻,pài zhù,,,动,派遣人员驻在某地（执行任务）,他是我国派驻联合国的代表。,Station
10929,1,亲生,qīn shēng,,,形,生育自己的或自己生育的,亲生父亲｜亲生子女,Biological
10929,2,亲生,qīn shēng,,,动,自己生育,这孩子是她亲生,Give birth to
10931,1,浩大,hào dà,,,形,（气势、规模、数量等）极大,气势浩大｜浩大的工程｜道路改造经费浩大。,Vast
10933,1,自言自语,zì yán zì yǔ,,,,没有谈话对象，自己跟自己说话,他喜欢自言自语。｜老人自言自语着。,Talk to oneself
10934,1,女婿,nǚ xu,,,名,女儿的丈夫,我女儿跟女婿一块儿去了北京。,Son-in-law
10934,2,女婿,nǚ xu,,,名,某些地区指丈夫,她女婿很能干。｜女婿对家人很好。,Husband
10937,1,供货,gōng huò,,,动,供给货物,供货单位,Supply goods
10938,1,被害,bèi hài,,,动,遭到杀害,他不幸被害身亡。｜被害者身份不明。,Be murdered
10939,1,投资基金,tóu zī jī jīn,,,,通过集资而筹集起来的基金。由专门的职业基金管理机构或合法的投资者个人进行证券、外汇等方面的运作。投资者共享收益，也共担风险,他投资了投资基金。｜投资基金有风险。,Investment fund
10941,1,面色,miàn sè,,,名,脸色；面部的气色,面色苍白,Complexion
10942,1,博得,bó dé,,,动,赢得；得到（信任、赞扬、同情等）,他的表演博得一阵阵喝彩｜博得大家的好感,Win
10943,1,进货,jìn huò,,,动,商店购进货物,商店需要进货。｜进货渠道要可靠。,Stock up
10944,1,民权,mín quán,,,名,人民的民主权利,保障民权,Civil rights
10945,1,警觉,jǐng jué,,,形,感觉敏锐,警觉地注视着敌人的动静。,Vigilant
10945,2,警觉,jǐng jué,,,名,对可能发生事变或危险的敏锐感觉,政治警觉｜警觉性,Alertness
10945,3,警觉,jǐng jué,,,动,警醒；醒悟,错误会使人警觉起来。,Become alert
10946,1,换句话说,huàn jù huà shuō,,,,改用另外一句话来说明。常插在谈论或行文过程中，引出另一说法或从另一角度说的话,遇事踢皮球是不负责的表现，换句话说，是一种渎职行为。,In other words
10947,1,仓储,cāng chǔ,,,名,仓库储存的物资,这些仓储足可以用3年。,Warehouse stock
10947,2,仓储,cāng chǔ,,,动,用仓库储存,粮食已仓储完毕｜仓储物资,Store in a warehouse
10948,1,面相,miàn xiàng,,,名,面容；相貌,他面相很和善。｜面相可以看出性格。,Facial features
10950,1,南边,nán bian,,,名,【南面】往南的某一位置；靠南的一面,我家在南边。｜南边阳光充足。,South side
10951,1,有线电视,yǒu xiàn diàn shì,,,,利用电缆、光缆分送电视信号、向用户传送节目的电视广播系统,安装了有线电视。｜有线电视节目多。,Cable television
10952,1,天涯,tiān yá,,,名,天边；极远的地方,海内存知己，天涯若比邻。,Ends of the earth
10953,1,真挚,zhēn zhì,,,形,纯真诚恳,真挚的感情｜真挚的友谊,Sincere
10954,1,导航,dǎo háng,,,动,用航标、雷达、无线电装置等引导飞机或轮船航行,导航塔｜导航台,Navigate
10955,1,荣耀,róng yào,,,形,光荣,作为一名人民教师，我感到非常荣耀。,Glorious
10956,1,电磁,diàn cí,,,名,构成物质的粒子所具有的电性和磁性的统称,电磁感应｜电磁铁,Electromagnetism
10957,1,愤慨,fèn kǎi,,,形,气愤不平,法西斯的暴行，使全世界人民无比愤慨。,Indignant
10958,1,孟子,mèng zǐ,,,名,战国时邹（今山东邹县）人，名轲，字子舆。是著名的思想家、政治家、教育家，孔子学说的继承者，古代尊为“亚圣”,孟子是儒家代表。｜孟子主张性善论。,Mencius
10958,2,孟子,mèng zǐ,,,名,儒家经典之一。孟子及其弟子所著，内容主要记载孟子及其弟子的政治、教育、哲学、伦理等思想观点和政治活动,我读了孟子一书。｜孟子思想很深刻。,Mencius (the book)
10959,1,矿石,kuàng shí,,,名,从矿体中开采出来的，从中可以提取有用物质的矿物集合体,矿石含有金属。｜开采矿石很辛苦。,Ore
10960,1,迎新,yíng xīn,,,动,迎接新年、新春,辞旧迎新,Welcome the New Year
10960,2,迎新,yíng xīn,,,动,迎接新来的人；特指迎接新生,做好迎新工作，确保按时开学。,Welcome newcomers
10961,1,佳绩,jiā jì,,,名,好成绩,再创佳绩,Excellent result
10962,1,假若,jiǎ ruò,,,连,假如,假若下雨就不去。｜假若你同意就好。,If
10963,1,现役,xiàn yì,,,名,指公民从应征入伍之日起到退伍之日止所服的兵役,现役军人｜退出现役,Active service
10964,1,沙尘暴,shā chén bào,,,名,强风挟带大量尘沙、干土而使空气混浊、天色昏黄的现象。常见于我国西北地区的春季,沙尘暴天气恶劣。｜沙尘暴影响出行。,Sandstorm
10965,1,守门员,shǒu mén yuán,,,名,足球、手球、冰球等球类比赛中守卫本队球门的队员,守门员扑出了球。｜他是优秀守门员。,Goalkeeper
10966,1,面容,miàn róng,,,名,面貌；容貌,面容憔悴,Facial appearance
10967,1,减灾,jiǎn zāi,,,动,减少自然灾害带来的损失,减灾工作很重要。｜积极减灾减损失。,Disaster reduction
10968,1,应从,yìng cóng,,,动,答应依从,应从了大家,Comply with
10969,1,器具,qì jù,,,名,用具；工具,购置日用器具,Utensils
10970,1,统帅,tǒng shuài,,,名,武装力量的最高领导人,全军统帅,Commander-in-chief
10971,1,惋惜,wǎn xī,,,动,同情别人的不幸；对某些不如意的事感到遗憾,他告别剧坛，令人惋惜。,Feel sorry for
10972,1,修路,xiū lù,,,动,修筑道路,工人们在修路。｜修路导致堵车。,Build roads
10973,1,外客,wài kè,,,名,关系较疏远的客人,你不是外客，不必过于客气。,Outsider
10974,1,谋私,móu sī,,,动,谋求私利,反对以权谋私,Seek personal gain
10975,1,调配,tiáo pèi,,,动,调和配制,调配颜料｜调配药物｜饮食要调配好,Mix
10975,2,调配,diào pèi,,,动,调动配置,合理调配人力,Allocate
10976,1,搜捕,sōu bǔ,,,动,搜查逮捕,搜捕凶犯,Search and arrest
10977,1,总得,zǒng děi,,,副,表示情理上或事理上必须,总得亲自去一趟｜事情总得有个了结。,Must
10978,1,荟萃,huì cuì,,,动,（杰出的人或美好的事物）聚集、汇聚在一起,名家荟萃｜精品荟萃,Gather
10980,1,异于,yì yú,,,动,不同于,言谈举止异于常人。,Differ from
10981,1,堡垒,bǎo lěi,,,名,军事防御用的坚固建筑物,攻克了敌人的堡垒。,Fortress
10981,2,堡垒,bǎo lěi,,,名,比喻难以征服的领域,攻克科学堡垒,Stronghold
10982,1,案情,àn qíng,,,名,案件的事实经过及性质,调查案情｜案情严重,Case details
10985,1,成文,chéng wén,,,动,形成文字；写成条文,这些还只是思考，尚未成文｜不成文的规定,Put into writing
10985,2,成文,chéng wén,,,名,现成的文字材料,不该因袭成文,Written text
10986,1,亲笔,qīn bǐ,,,名,亲自执笔写的字,这是他老人家的亲笔。,Personal handwriting
10986,2,亲笔,qīn bǐ,,,动,亲自执笔（写）,亲笔信｜亲笔签字,Write personally
10987,1,扑灭,pū miè,,,动,扑打使熄灭或消灭,扑灭山火｜扑灭蚊蝇,Extinguish
10988,1,灌木,guàn mù,,,名,无明显主干，低矮丛生的木本植物。如玫瑰、酸枣、紫穗槐等,玫瑰是灌木植物。｜灌木丛中有小鸟。,Shrub
10989,1,请客,qǐng kè,,,动,招待客人吃饭或娱乐等,今天他请客吃饭。｜请客要准备充分。,Invite guests
10990,1,恳求,kěn qiú,,,动,恳切地请求,恳求核准,Plead
10991,1,雕像,diāo xiàng,,,名,雕刻成的人像或其他艺术形象,广场有英雄雕像。｜雕像雕刻很精细。,Statue
10992,1,相看,xiāng kàn,,,动,看待,刮目相看,Regard
10992,2,相看,xiāng kàn,,,动,察看；注视,他在相看柜台里的首饰。,Look at
10993,1,取名,qǔ míng,,,动,给人或事物选定名字或名称,给孩子取名很难。,Name
10995,1,扎根,zhā gēn,,,动,比喻深入到某处或某些人中间,扎根边疆｜扎根于群众之中,Take root
10995,2,扎根,zhā gēn,,,动,比喻牢固地树立某种思想,让质量第一的观念在头脑里扎根。,Establish firmly
10995,3,扎根,zhā gēn,,,动,植物的根向土壤深处生长,移栽的花都扎根了。,Take root (of plants)
10996,1,日新月异,rì xīn yuè yì,,,,天天更新，月月不同。形容进步、发展很快，不断出现新面貌,科技日新月异。｜城市日新月异。,Change rapidly
10997,1,葬礼,zàng lǐ,,,名,为死者举行的出殡和安葬仪式,参加了他的葬礼。｜葬礼气氛很肃穆。,Funeral
10999,1,养老金,yǎng lǎo jīn,,,名,职工退休后按期领取的生活费,他每月领养老金。｜养老金保障生活。,Pension
11001,1,佛经,fó jīng,,,名,泛指一切佛教典籍。包括经（教义）、律（戒律）、论（论述或注释），合称三藏（zàng）。特指三藏之一的经藏部分,他在诵读佛经。｜佛经内容很深奥。,Buddhist scripture
11002,1,总支,zǒng zhī,,,名,中国共产党的基层组织“总支部委员会”的简称,他是总支书记。｜总支召开了会议。,General branch
11003,1,培植,péi zhí,,,动,种植并精心培育,培植水稻新品种,Cultivate
11003,2,培植,péi zhí,,,动,培养扶植,培植后备力量,Foster
11004,1,锅炉,guō lú,,,名,产生水蒸气或用来烧水的装置。一般由盛水容器和加热装置两部分构成,锅炉需要检修。｜锅炉提供蒸汽。,Boiler
11005,1,比比,bǐ bǐ,,,名,到处；处处,比比皆是｜比比可寻,Everywhere
11005,2,比比,bǐ bǐ,,,副,连连；屡屡,比比失利,Repeatedly
11006,1,虚构,xū gòu,,,动,凭空编造,这些材料都是虚构的，没有根据。,Fabricate
11006,2,虚构,xū gòu,,,动,文艺创作中，为了塑造典型、概括地反映生活真实而采用的并不局限于写真人真事的创作,艺术虚构,fabricate
11007,1,麻油,má yóu,,,名,芝麻油,麻油香味扑鼻。｜拌菜用点麻油。,sesame oil
11008,1,入睡,rù shuì,,,动,睡着（zháo）,他很快入睡了。｜难以入睡的夜晚。,fall asleep
11009,1,吊销,diào xiāo,,,动,收回并注销（执照、证件等）,吊销资格证书,revoke
