hanzi,definition_id,definition_cn,example_cn
弓,230814,"〈旧时〉丈量地亩的计算单位,1弓等于5尺","弓地|弓亩|弓田|弓量|弓数"
杠,231222,"体操器械,有单杠、双杠、高低杠等","单杠|双杠|杠铃|杠架|杠子"
蜡,231411,"动物、矿物或植物所产生的油质,具有可塑性,能燃烧","蜡油|蜡像|蜡染|蜡纸|蜡笔"
翁,233212,"父亲。","老翁|翁姑|翁婿|翁父|翁妈"
滥,235011,"泛滥","泛滥|滥伐|滥采|滥杀|滥用"
瞎,235714,"〈方〉农作物种子没有发芽出土或农作物子粒不饱满","瞎种|瞎苗|瞎穗|瞎粒|瞎田"
坝,238612,"河工险要处巩固堤防的建筑物,如丁坝","堤坝|坝体|坝基|坝址|坝顶"
坝,238613,"〈方〉沙滩;沙洲","沙坝|坝滩|坝地|坝头|坝尾"
丙,239911,"天干的第三位","丙等|丙级|丙火|丙夜|丙丁"
锤,242511,"古代兵器,柄的上头有一个金属圆球","铜锤|锤击|锤头|锤柄|锤骨"
舆,243812,"车上可以载人载物的部分","舆车|舆马|舆图|舆轿|舆辇"
挫,246211,"挫折","挫败|挫伤|挫锐|挫顿|挫辱"
熙,246611,"光明","熙光|熙和|熙景|熙曜|熙天"
鼎,247411,"煮东西用的器物,三足两耳","鼎沸|鼎立|鼎足|鼎盛|鼎新"
乾,247611,"八卦之一，代表天","乾坤|乾卦|乾元|乾象|乾曜"
窜,250212,"放逐;驱逐","窜逐|窜逃|窜犯|窜改|窜流"
崩,251414,"枪毙","崩刑|崩杀|崩决|崩殂|崩亡"
弧,252611,"圆周上任意两点间的部分","弧线|弧光|弧度|弧圈|弧形"
斋,255511,"斋戒","斋月|斋期|斋日|斋醮|斋堂"
葱,258011,"多年生草本植物,叶子圆筒形,中间空,鳞茎圆柱形","大葱|葱花|葱白|葱绿|葱郁"
絮,259212,"指粗的丝绵","絮棉|絮帛|絮衣|絮被|絮袄"
絮,259215,"絮叨","絮语|絮说|絮言|絮聒|絮絮"
笛,259411,"管乐器,用竹子制成,上面有一排供吹气、蒙笛膜和调节发音的孔","竹笛|笛子|笛声|笛膜|笛韵"
酿,260014,"烹调方法,将肉、鱼、虾等剁碎做成的馅填或塞入掏空的柿子椒、冬瓜等","酿椒|酿瓜|酿茄|酿豆腐|酿苦瓜"
荐,261613,"草","荐草|荐席|荐藉|荐居|荐食"
绅,261911,"士大夫束在腰间的大带子","绅带|绅冕|绅笏|绅耆|绅衿"
朦,262911,"月光不明","朦胧|朦朦|朦昧|朦郁|朦朣"
棕,263611,"棕榈","棕树|棕毛|棕绷|棕绳|棕编"
卤,264911,"盐卤","卤水|卤块|卤盐|卤化|卤素"
卤,264912,"卤素","卤代|卤化|卤族|卤酸|卤烷"
崭,265611,"高峻;高出","崭新|崭然|崭露|崭崖|崭绝"
甸,267011,"指郊外的地方","甸外|甸邑|甸服|甸郊|甸聚"
幢,267211,"旗子一类的东西","幢幡|幢节|幢盖|幢旗|幢将"
窑,267313,"窑洞","土窑|窑居|窑院|窑门|窑窗"
坤,267711,"八卦之一，代表地","坤卦|坤仪|坤舆|坤元|坤极"
锈,268611,"铜、铁等金属表面在潮湿空气中氧化形成的物质","铁锈|铜锈|锈蚀|锈斑|锈病"
鳞,270511,"鱼类、爬行动物和少数哺乳动物身体表面具有保护作用的薄片状组织","鱼鳞|鳞片|鳞甲|鳞波|鳞屑"
簧,271211,"乐器里用铜或其他质料制成的发声薄片","簧片|簧舌|簧乐|簧管|簧风琴"
藉,272011,"垫在下面的东西","藉草|藉卉|藉幕|藉田|藉槀"
瑰,272511,"一种像玉的石头","瑰玉|瑰石|瑰奇|瑰玮|瑰宝"
莹,272911,"光洁像玉的石头","莹石|莹玉|莹白|莹润|莹澈"
锥,274311,"锥子","锥形|锥度|锥体|锥刀|锥画"
虏,280811,"俘虏（动词）","虏获|虏掠|虏劫|虏夺|虏略"
虏,280812,"俘虏（名词）","战虏|降虏|虏囚|虏使|虏官"
虏,280813,"指奴隶","虏役|虏隶|虏婢|虏仆|虏户"
涩,281811,"像明矾或不熟的柿子那样使舌头感到麻木干燥的味道","涩味|苦涩|干涩|酸涩|涩滞"
兑,287111,"用旧的金银首饰、器皿向银楼换取新的","兑换|兑金|兑银|兑店|兑款"
酋,287611,"酋长","酋首|酋豪|酋领|酋望|酋帅"
闺,288011,"上圆下方的小门","闺门|闺阁|闺房|闺秀|闺范"
棘,299211,"酸枣树","荆棘|棘刺|棘丛|棘林|棘户"
庚,299511,"天干的第七位","庚日|庚帖|庚申|庚午|庚辰"
炽,300011,"(火)旺","炽热|炽烈|炽盛|炽火|炽炎"
茸,300611,"草初生纤细柔软的样子","茸茸|茸毛|茸草|茸密|茸细"
钧,301412,"制陶器所用的转轮","钧轮|钧窑|钧陶|钧制|钧甄"
韬,302311,"弓或剑的套子","韬弓|韬剑|韬戈|韬刃|韬弓"
诏,307611,"告诉;告诫","诏书|诏令|诏谕|诏策|诏敕"
姬,310311,"对妇女的美称","姬妾|姬侍|姬人|姬姜|姬汉"
梆,312611,"打更等用的梆子","梆子|梆声|梆响|梆硬|梆梆"
羌,314111,"中国古代民族,原住在以今青海为中心,南至四川,北接新疆的一带地区","羌族|羌笛|羌胡|羌戎|羌人"
磅,314221,"英美制重量单位。1磅等于16盎司,合453.59克","磅秤|磅重|磅量|磅码|磅卡"
崽,315011,"儿子","崽子|崽儿|崽女|崽孙|崽种"
盔,317811,"盔子","头盔|盔甲|盔帽|盔缨|盔顶"
撮,319721,"聚合;聚拢","撮合|撮弄|撮要|撮口|撮盐"
泓,320911,"水深而广","泓澄|泓洄|泓泓|泓涵|泓碧"
酥,328711,"古代称酥油为酥","酥油|酥酪|酥蜜|酥糖|酥脆"
阜,328911,"土山","阜陵|阜丘|阜积|阜陆|阜垤"
橘,330011,"橘子树,常绿乔木,树枝细,通常有刺,叶子长卵圆形","柑橘|橘红|橘络|橘饼|橘井"
贿,331511,"财物","贿赂|贿款|贿通|贿买|贿谢"
粱,332711,"谷子的优良品种的统称","高粱|粱肉|粱糗|粱菽|粱米"
纶,lún,333621,"青丝带子","纶巾|纶组|纶连|纶命|纶言"
泵,bèng,334311,"吸入和排出流体的机械,能把流体抽出或压入容器","水泵|油泵|气泵|泵房|泵站"
锭,dìng,336111,"锭子","纱锭|锭模|锭剂|锭铁|锭壳"
札,zhá,337211,"写字用的小而薄的木片","札记|札子|札付|札翰|札稿"
殉,xùn,340811,"殉葬","殉葬|殉死|殉节|殉难|殉国"
簌,sù,344911,"〈拟声词〉形容风吹叶子等的声音","簌簌|簌落|簌响|簌飒|簌颤"
栈,zhàn,346712,"栈道","栈桥|栈阁|栈径|栈谷|栈车"
朔,shuò,351811,"农历每月初一,月球运行到太阳和地球之间","朔日|朔望|朔月|朔方|朔风"
饷,xiǎng,352411,"用酒食等款待","饷客|饷宴|饷馈|饷遗|饷田"
谍,dié,352911,"谍报活动","间谍|谍报|谍查|谍影|谍战"
芋,yù,355111,"多年生草本植物,块茎椭圆形或卵形,叶子略呈卵形","芋头|芋艿|芋奶|芋魁|芋渠"
芋,yù,355112,"这种植物的块茎","山芋|洋芋|魔芋|菊芋|竹芋"
瘟,wēn,355811,"〈中医〉指人或动物的急性传染病","瘟疫|瘟病|瘟神|瘟疹|瘟瘴"
腆,tiǎn,361111,"丰盛;丰厚","腆仪|腆赠|腆养|腆厚|腆润"
臼,jiù,363511,"舂米的器具,用石头或木头制成,中部凹下","石臼|臼齿|杵臼|臼杵|臼窠"
琦,qí,365511,"美玉","琦玮|琦玩|琦珍|琦行|琦辞"
矜,jīn,366421,"怜悯;怜惜","矜恤|矜悯|矜怜|矜恻|矜恕"
锢,gù,367311,"熔化金属堵塞(物体的空隙)","锢漏|锢露|锢塞|锢藏|锢闭"
蛀,zhù,368511,"蛀虫","蛀牙|蛀齿|蛀蚀|蛀孔|蛀屑"
槛,jiàn,369421,"栏杆","槛栏|槛窗|槛车|槛阱|槛槛"
梓,zǐ,373911,"梓树,落叶乔木,叶子对生,稍有掌状浅裂","梓木|梓材|梓人|梓匠|梓宫"
瘠,jí,374211,"(身体)瘦弱","瘠瘦|瘠弱|瘠疲|瘠瘁|瘠馁"
忏,chàn,374511,"忏悔","忏礼|忏谢|忏拔|忏涤|忏洗"
耙,bà,376121,"碎土、平地的农具。它的用处是把耕过的地里的大土块弄碎弄平","钉耙|耙地|耙梳|耙耧|耙犁"
翕,xī,376211,"和顺;协调","翕合|翕协|翕习|翕如|翕然"
赡,shàn,382311,"赡养","赡家|赡老|赡族|赡济|赡给"
暨,jì,384711,"和;及;与","暨今|暨旦|暨臻|暨暨|暨于"
噎,yē,389912,"因为迎风而呼吸困难","噎风|噎气|噎郁|噎塞|噎膈"
瑜,yú,392711,"美玉","瑜玉|瑜珈|瑜亮|瑜佩|瑜瑕"
痞,pǐ,392811,"痞块","痞积|痞满|痞结|痞硬|痞胀"
痘,dòu,393411,"天花","痘疮|痘苗|痘毒|痘疹|痘疤"
匕,bǐ,393811,"古人取食的器具,后代的羹匙由它演变而来","匕首|匕箸|匕鬯|匕筯|匕爨"
镊,niè,395211,"镊子","镊工|镊鬓|镊白|镊须|镊发"
圭,guī,401211,"帝王诸侯举行礼仪时所用的玉器,上尖下方","圭臬|圭璋|圭璧|圭角|圭表"
栉,zhì,407411,"梳子、篦子等梳头发的用具","栉梳|栉比|栉沐|栉发|栉栉"
懑,mèn,414411,"烦闷","愤懑|懑懑|懑乱|懑烦|懑怨"
砣,tuó,422211,"秤砣","秤砣|砣子|砣码|砣秤|砣轮"
砣,tuó,422212,"碾砣","碾砣|砣碾|砣石|砣轮|砣盘"
幺,yāo,424111,"数目中的‘1’叫‘幺’","幺二|幺么|幺小|幺末|幺弱"
饽,bō,424211,"糕点","饽饽|饽饵|饽糕|饽饼|饽糖"
睐,lài,426811,"瞳人不正","青睐|眄睐|顾睐|盼睐|转睐"
萱,xuān,428911,"萱草","萱堂|萱亲|萱花|萱草|萱苏"
籁,lài,429011,"古代的一种箫","天籁|万籁|籁竽|籁箫|籁鸣"
蜇,zhē,433111,"蜂、蝎子等用毒刺刺人或动物","蜇伤|蜇针|蜇痛|蜇刺|蜇毒"
熨,yù,433521,"(用字、用词)贴切;妥帖","熨帖|熨贴|熨当|熨稳|熨适"
崴,wǎi,434921,"山路不平","崴嵬|崴泥|崴脚|崴子|崴蕤"
牍,dú,437811,"古代写字用的木简","简牍|牍书|牍背|牍版|牍札"
脍,kuài,438311,"切得很细的鱼或肉","脍炙|脍鲤|脍残|脍手|脍刀"
荼,tú,438611,"古书上说的一种苦菜","荼毒|荼蓼|荼苦|荼荠|荼蘼"
铡,zhá,441711,"铡刀","铡草|铡刀|铡美|铡口|铡死"
茜,qiàn,442521,"茜草","茜草|茜红|茜素|茜纱|茜罗"
锉,cuò,442711,"手工工具,条形,多刃,主要用来对金属、木料、皮革等表层做微量加工","锉刀|锉工|锉屑|锉磨|锉平"
旌,jīng,448811,"古代一种旗杆顶上用彩色羽毛做装饰的旗子","旌旗|旌节|旌表|旌麾|旌旄"
鸨,bǎo,449111,"鸟类的一属,头小,颈长,背部平,尾巴短,不善于飞,能涉水","鸨母|鸨儿|鸨合|鸨行|鸨羽"
稷,jì,454811,"称一种粮食作物,有的书说是黍一类的作物,有的书说是谷子(粟)","稷黍|稷神|稷坛|稷雪|稷正"
莠,yǒu,455311,"狗尾草","莠草|稂莠|藜莠|莠言|莠民"
砻,lóng,455711,"去掉稻壳的工具,形状略像磨,多用木料制成","砻谷|砻坊|砻磨|砻炼|砻斫"
颔,hàn,460311,"下巴","颔首|颔联|颔车|颔颏|颔颐"
炷,zhù,472012,"烧(香)","炷香|炷炉|炷灯|炷艾|炷火"
稗,bài,472611,"稗子","稗草|稗官|稗史|稗记|稗说"
龌,wò,473311,"不干净;脏","龌龊|龌浊|龌浊|龌龌|龌龊"
砭,biān,477011,"砭石","砭针|砭灸|砭熨|砭割|砭削"
噫,yī,479111,"表示悲痛或叹息","噫嘻|噫吁|噫呜|噫气|噫喑"
砺,lì,480511,"磨刀石","砥砺|砺石|砺砥|砺戈|砺刃"
弈,yì,483111,"围棋","弈棋|弈局|弈枰|弈谱|弈道"
贰,èr,484111,"‘二’的大写","贰臣|贰心|贰过|贰负|贰统"
衽,rèn,484311,"衣襟","衽席|衽裳|衽服|衽接|衽左"
砒,pī,487111,"砷的旧称","砒霜|砒石|砒礵|砒黄|砒霜"
骠,piào,487821,"形容马快跑","骠骑|骠骏|骠勇|骠壮|骠疾"
弁,biàn,488111,"男子戴的帽子","弁冕|弁冠|弁绖|弁服|弁髦"
渥,wò,488711,"沾湿;沾润","渥丹|渥恩|渥惠|渥厚|渥眄"
钤,qián,489811,"图章","钤印|钤记|钤盖|钤束|钤识"
诰,gào,497611,"告诉(用于上对下)","诰命|诰封|诰谕|诰诫|诰敕"
诰,gào,497612,"一种告诫性的文章","诰文|诰策|诰书|诰券|诰牒"
谥,shì,504511,"君主时代帝王、贵族、大臣等死后,依其生前事迹所给予的称号","谥号|谥法|谥议|谥册|谥宝"
玮,wěi,504611,"玉名","玮宝|玮器|玮丽|玮烨|玮艺"
镬,huò,506111,"〈方〉锅","镬子|镬灶|镬汤|镬焦|镬釜"
怄,òu,508011,"怄气","怄气|怄恨|怄怒|怄人|怄火"
撺,cuān,510111,"抛掷","撺弄|撺掇|撺梭|撺箱|撺断"
薮,sǒu,510911,"生长着很多草的湖","渊薮|林薮|蓁薮|薮泽|薮牧"
甑,zèng,521111,"古代炊具,底部有许多小孔,放在鬲(lì)上蒸食物","甑尘|甑瓾|甑箄|甑带|甑窐"
甑,zèng,521112,"甑子","饭甑|酒甑|蒸甑|甑箅|甑釜"
狙,jū,522011,"古书里指一种猴子","狙击|狙诈|狙伺|狙刺|狙害"
黩,dú,523511,"玷污","黩武|黩货|黩祭|黩乱|黩慢"
宸,chén,528011,"屋宇;深邃的房屋","宸宇|宸居|宸极|宸章|宸翰"
戗,qiàng,532721,"斜对着墙角的屋架","戗脊|戗柱|戗台|戗金|戗面"
戗,qiàng,532722,"支撑柱子或墙壁使免于倾倒的木头","戗木|戗杆|戗撑|戗住|戗固"
诟,gòu,533811,"耻辱","诟病|诟骂|诟厉|诟耻|诟谇"
翮,hé,535211,"鸟羽的茎状部分,中空透明","羽翮|劲翮|轻翮|振翮|戢翮"
惝,tǎng,535321,"‘惝’(chǎng)的又音","惝怳|惝惘|惝然|惝惝|惝罔"
锛,bēn,536311,"锛子","锛斧|锛凿|锛工|锛子|锛锄"
俳,pái,543711,"指滑稽戏","俳优|俳笑|俳倡|俳体|俳文"
麾,huī,546011,"指挥军队的旗子","麾下|麾节|麾盖|麾旌|麾军"
芟,shān,546811,"割(草)","芟夷|芟刈|芟秋|芟柞|芟削"
楮,chǔ,2011011,"楮树,落叶乔木,叶子卵形,叶子和茎上有硬毛,花淡绿色","楮纸|楮墨|楮币|楮钱|楮叶"
